model,forecast_target,mse,mae,trend_accuracy
naive_last,relative_return,0.0019349019275978208,0.032861266285181046,0.0
previous_patch,relative_return,0.004556552041321993,0.04794631525874138,0.5076923076923077
mean_context,relative_return,0.0020292839035391808,0.033415764570236206,0.5076923076923077
drift,relative_return,0.0020496812649071217,0.03327970579266548,0.49538461538461537
