method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.0021822960562311797,0.0016529979687819373,0.03310590356265158,0.01274766870856668,0.5242105263157895,0.030893511437486896,4.0,3.9,2.1,0,0,0,0,3,3,10,10
Local-MAE/Long-JEPA,0.0023557586951564687,0.001953600413173657,0.03368585931556606,0.013962574949341628,0.5209868421052632,0.03363416020715954,4.4,4.2,2.5,0,0,0,0,2,3,10,10
GRU,0.001813628664421405,0.0011830419600331377,0.03073607295877943,0.010825559668704394,0.5091447368421053,0.021335025794187775,3.2,3.7,3.25,1,2,1,0,0,3,10,10
Naive-last,0.0015161245293664216,0.0009663522123077612,0.02725285106583645,0.009616999753699096,0.0013157894736842105,0.0027739277720775254,1.1,1.2,5.5,9,1,8,2,0,0,10,10
Drift,0.001664632019880994,0.0011335761292134362,0.028201916654606494,0.010058135322520444,0.5328947368421053,0.048642703975479894,2.3,2.0,2.15,0,7,1,8,5,1,10,10
Mean-context,0.015068260330213048,0.011679160189127707,0.09233360558274924,0.043761971033484184,0.0013157894736842105,0.0027739277720775254,6.0,6.0,5.5,0,0,0,0,0,0,10,10
