method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.04905736881311697,0.02713722110921596,0.5127777777777778,0.04242822552249451,2.0,2.4,2,1,2,1,5,5
GRU,0.049664046757695576,0.029985617703831013,0.5016666666666667,0.029697549468675786,1.4,2.6,3,2,1,1,5,5
Naive-last,0.051537521946956245,0.030510355795937562,0.003333333333333333,0.004564354645876384,2.6,5.0,0,2,0,0,5,5
Drift,0.053926642069684484,0.03168285559667476,0.5216666666666667,0.05290190082701295,4.4,2.6,0,0,1,1,5,5
Mean-context,0.05421011787650282,0.03179553560696184,0.5183333333333333,0.06780281868935999,4.6,2.4,0,0,2,1,5,5
