epoch,train_loss,rmse_loss,trend_loss,val_rmse,val_trend_acc
0,0.17743632048368455,0.16865911334753036,8.77720341682434,0.06194586306810379,0.575
1,0.060005021095275876,0.057666959861914315,2.338061634699504,0.046694301068782806,0.55
2,0.04311714693903923,0.04142360885938009,1.6935383478800456,0.031054699793457985,0.5833333333333334
3,0.03810566837588946,0.036848379547397295,1.25728888909022,0.036010339856147766,0.425
4,0.03877856855591138,0.037577237685521445,1.2013302842775981,0.030085083097219467,0.44166666666666665
5,0.034862982605894405,0.03385519174238046,1.007791487375895,0.028609540313482285,0.48333333333333334
6,0.039230878775318466,0.03800657081107298,1.2243078827857972,0.03250855952501297,0.475
7,0.03825322526196639,0.036933551107843715,1.3196738759676616,0.032022736966609955,0.49166666666666664
8,0.0386963694045941,0.03744594963888327,1.2504199226697286,0.035105716437101364,0.5833333333333334
9,0.03746223735312621,0.03635033207635085,1.111905026435852,0.03004695661365986,0.575
10,0.036133219053347904,0.035100649048884706,1.0325698653856914,0.0391150526702404,0.5666666666666667
11,0.041204741100470225,0.0400419756770134,1.1627655585606893,0.03927725926041603,0.5166666666666667
12,0.0375873077660799,0.03646739671627681,1.1199109236399332,0.03208377957344055,0.5333333333333333
13,0.03725343222419421,0.03627542878190677,0.9780033349990844,0.036512356251478195,0.5416666666666666
14,0.03746158629655838,0.03631650569538276,1.1450806180636088,0.03405402973294258,0.425
15,0.03997335893412431,0.038935421283046404,1.037937351067861,0.04962689429521561,0.6083333333333333
16,0.04177808885773023,0.04073938901225726,1.0387000997861227,0.03745195269584656,0.48333333333333334
17,0.03538465052843094,0.034397153307994206,0.9874970038731893,0.02777322381734848,0.4166666666666667
18,0.03532809441288312,0.03425857188800971,1.06952299674352,0.030802899971604347,0.5583333333333333
19,0.038860641544063886,0.03740336708724499,1.457274583975474,0.035623274743556976,0.5583333333333333
20,0.03793390182157357,0.03657640094558398,1.357500922679901,0.03743681311607361,0.4166666666666667
21,0.0385522057612737,0.037325728808840115,1.2264777143796286,0.025196798145771027,0.6
22,0.03764682101706664,0.0365018588801225,1.1449618299802145,0.030983643606305122,0.5
23,0.03626303064326445,0.03518272899091244,1.0803014755249023,0.025776131078600883,0.4666666666666667
24,0.0345400491108497,0.03357155074675878,0.9684980948766072,0.03168363496661186,0.5916666666666667
25,0.03573596365749836,0.03468427918851376,1.051684526602427,0.030528541654348373,0.5166666666666667
26,0.036628034462531406,0.03549760157863299,1.1304333766301473,0.027425479143857956,0.4666666666666667
27,0.03676400731007258,0.03568372776110967,1.0802794814109802,0.03238014504313469,0.5416666666666666
28,0.03980582828323046,0.03848132280011972,1.3245052297910054,0.03260225057601929,0.5916666666666667
29,0.038103857263922694,0.036744632696111994,1.3592244386672974,0.03458315506577492,0.5333333333333333
30,0.034470971177021664,0.033326643705368045,1.1443275213241577,0.03372979164123535,0.4
