stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.000830137178506038,3.7359501356767457
AAPL,Shared-target JEPA--MAE,3,-0.0001228217728162969,0.5527472214205444
AVGO,GRU,3,-0.00603604929707198,8.387304357877706
AVGO,Shared-target JEPA--MAE,3,-0.006713738210722288,9.328977114179065
NVDA,GRU,3,-0.0010990601665308273,1.9081557327312553
NVDA,Shared-target JEPA--MAE,3,-0.00268348447576369,4.658986324913076
TSLA,GRU,3,-0.0033214891018900536,3.7901238407772104
TSLA,Shared-target JEPA--MAE,3,-9.124797002635354e-05,0.10412230659513834
WMT,GRU,3,-0.001478146312043186,8.09168858305327
WMT,Shared-target JEPA--MAE,3,-0.0007015175603810597,3.8402569406681017
