stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,1.2086485587486224,3
AAPL,GRU,3.7359501356767457,3
AAPL,Mean-context,0.6288655302916162,3
AAPL,Shared-target JEPA--MAE,0.5527472214205444,3
AVGO,Drift,0.021465354185041224,3
AVGO,GRU,8.387304357877706,3
AVGO,Mean-context,0.1298679918964007,3
AVGO,Shared-target JEPA--MAE,9.328977114179065,3
NVDA,Drift,-1.6196738797839234,3
NVDA,GRU,1.9081557327312553,3
NVDA,Mean-context,-3.3116146342592696,3
NVDA,Shared-target JEPA--MAE,4.658986324913076,3
TSLA,Drift,1.822509658688851,3
TSLA,GRU,3.7901238407772104,3
TSLA,Mean-context,2.577553483558727,3
TSLA,Shared-target JEPA--MAE,0.10412230659513834,3
WMT,Drift,5.838072777951428,3
WMT,GRU,8.09168858305327,3
WMT,Mean-context,5.185306975007928,3
WMT,Shared-target JEPA--MAE,3.8402569406681017,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
