method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.7329858505855972,0.8861102810115102,0.560601867700878,0.42269387166658684,0.4844736842105263,0.01809868301478884,5.2,5.0,3.3,0,0,0,0,1,0,5,5
Local-MAE/Long-JEPA,0.48650919919836033,0.7623148754984275,0.4326437027830826,0.41035561188252884,0.49631578947368415,0.01662795596781488,3.4,3.6,2.8,0,0,0,0,0,2,5,5
GRU,0.9139524102932363,1.2716383688299033,0.6084989412960253,0.5531645157999995,0.491578947368421,0.028091411922911882,4.8,4.8,2.5,0,0,0,0,1,2,5,5
Naive-last,0.033734020215196545,0.031566736817977045,0.12650691684923673,0.06592690989026868,0.0,0.0,1.0,1.0,5.5,5,0,5,0,0,0,5,5
Drift,0.03576051245007096,0.03289136695752802,0.13039147088402198,0.06539471443660888,0.5513157894736842,0.03819190861499996,2.0,2.0,1.4,0,5,0,5,4,0,5,5
Mean-context,0.3456570825725569,0.3305321220786614,0.4432328973318401,0.23827385724986844,0.0,0.0,4.6,4.6,5.5,0,0,0,0,0,0,5,5
