model,forecast_target,rmse,trend_accuracy
GRU,relative_return,0.04299949109554291,0.6833333333333333
TS-JEPA,relative_return,0.047344569116830826,0.6166666666666667
naive_last,relative_return,0.04985048994421959,0.0
drift,relative_return,0.05321185290813446,0.4666666666666667
mean_context,relative_return,0.05344025418162346,0.4666666666666667
