model,mse,mae,trend_accuracy
GRU,0.0010558427311480045,0.022220274433493614,0.4426229508196721
naive_last,0.001057861722074449,0.022631367668509483,0.00819672131147541
drift,0.0011291500247525112,0.023007271949931327,0.4672131147540984
TS-JEPA,0.0013231856282800436,0.027301263064146042,0.4918032786885246
mean_context,0.00340840220451355,0.04668252542614937,0.00819672131147541
previous_patch,0.046363141387701035,0.11203745752573013,0.4918032786885246
