method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.05263439763451398,0.036407812707177516,0.5477777777777778,0.021008522667987837,2.2,2.6,2,2,1,1,5,5
GRU,0.051818403690204205,0.03847686940155621,0.5611111111111111,0.058794473579213136,1.4,2.4,3,2,2,1,5,5
Naive-last,0.05594134753529163,0.040385242807345526,0.006666666666666666,0.009128709291752768,4.0,5.0,0,0,0,0,5,5
Drift,0.05545604969332892,0.03868682520520104,0.5366666666666666,0.07582875444051551,3.8,2.5,0,1,2,1,5,5
Mean-context,0.05526410276787561,0.038209492403702056,0.5399999999999999,0.058452259722500635,3.6,2.5,0,0,1,2,5,5
