stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.001097035126332915,5.327412430047114
AAPL,Shared-target JEPA--MAE,3,-0.0005436439120542515,2.640038832920972
AVGO,GRU,3,-0.0038760923406699573,4.65244798827617
AVGO,Shared-target JEPA--MAE,3,-0.004871865741055521,5.847668211693755
NVDA,GRU,3,-0.007850329779275968,15.747748119424351
NVDA,Shared-target JEPA--MAE,3,-0.003463911482070703,6.948600512507684
TSLA,GRU,3,-0.006512134708555356,5.929757197842709
TSLA,Shared-target JEPA--MAE,3,-0.009137830729931818,8.320638311166302
WMT,GRU,3,-0.0012791272706029345,7.930240238002438
WMT,Shared-target JEPA--MAE,3,0.00148250236122409,-9.191110336011574
