stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,-0.8893487838696399,3
AAPL,GRU,5.327412430047114,3
AAPL,Mean-context,-0.7800820358166446,3
AAPL,Shared-target JEPA--MAE,2.640038832920972,3
AVGO,Drift,1.6401969888312646,3
AVGO,GRU,4.65244798827617,3
AVGO,Mean-context,2.024097176277561,3
AVGO,Shared-target JEPA--MAE,5.847668211693755,3
NVDA,Drift,-6.742892412958589,3
NVDA,GRU,15.747748119424351,3
NVDA,Mean-context,-7.201055925452898,3
NVDA,Shared-target JEPA--MAE,6.948600512507684,3
TSLA,Drift,3.915304305787442,3
TSLA,GRU,5.929757197842709,3
TSLA,Mean-context,4.923958262736571,3
TSLA,Shared-target JEPA--MAE,8.320638311166302,3
WMT,Drift,1.8887941231118093,3
WMT,GRU,7.930240238002438,3
WMT,Mean-context,0.26493467760119715,3
WMT,Shared-target JEPA--MAE,-9.191110336011574,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
