stock,n_matched_seeds,matched_seeds,shared_mse,local_mse,delta_mse,shared_mae,local_mae,delta_mae
NVDA,5,42;44;46;48;50,1.8091399665526844,1.626993503752639,0.18214646280004532,1.140903747458207,1.084200009044848,0.05670373841335907
AAPL,5,42;44;46;48;50,0.12945217984136706,0.05305289292859785,0.0763992869127692,0.27102633978191176,0.17773708594472787,0.0932892538371839
MSFT,5,42;44;46;48;50,0.07629257172447235,0.027673532546103073,0.048619039178369274,0.2420217221661618,0.13834720071993376,0.10367452144622805
AMZN,5,42;44;46;48;50,0.05595165923792587,0.02917657462655946,0.026775084611366406,0.18742749565526057,0.13422280349229512,0.053204692162965445
GOOGL,5,42;44;46;48;50,1.0422061480711555,0.6717111530557396,0.37049499501541594,0.6739928455101817,0.5412230505441364,0.13276979496604524
