epoch,train_loss,rmse_loss,trend_loss,val_rmse,val_trend_acc
0,0.27492743730545044,0.26226290067036945,12.664535999298096,0.1055828407406807,0.4166666666666667
1,0.10332490603129069,0.09950372278690338,3.821182107925415,0.0845557376742363,0.5333333333333333
2,0.0743573248386383,0.071530881524086,2.8264429807662963,0.07853668183088303,0.4166666666666667
3,0.06595891738931338,0.0637726567685604,2.186260191599528,0.07002328336238861,0.5833333333333334
4,0.062017878393332164,0.060196733971436815,1.8211435635884603,0.06946492940187454,0.5
5,0.06071912869811058,0.05898305575052897,1.7360730489095053,0.0711153969168663,0.48333333333333334
6,0.0647757296760877,0.0628032793601354,1.9724495887756348,0.06798169016838074,0.5166666666666667
7,0.058539794633785884,0.05687787607312202,1.6619184652964274,0.06308481097221375,0.5416666666666666
8,0.058725736538569134,0.057246760775645576,1.4789750417073568,0.07052980363368988,0.5
9,0.061081198354562126,0.05927261089285215,1.8085872968037924,0.06672459840774536,0.525
10,0.06185706357161204,0.060190385083357494,1.6666779438654582,0.0604502409696579,0.525
11,0.05588914851347605,0.05462789783875147,1.2612506429354349,0.062935471534729,0.5
12,0.055652334541082385,0.054316028704245886,1.3363061904907227,0.05947600305080414,0.5583333333333333
13,0.05727394272883733,0.055803835143645605,1.4701080759366354,0.0650424063205719,0.5833333333333334
14,0.05655042206247648,0.05514778370658557,1.402638590335846,0.06320618093013763,0.475
15,0.05567561760544777,0.054489313066005705,1.186304716269175,0.06872937083244324,0.525
16,0.05647681877017021,0.05509602924187978,1.3807893117268881,0.06090556085109711,0.44166666666666665
17,0.054532658557097116,0.05330758144458135,1.2250773588816324,0.06578698754310608,0.575
18,0.05517838845650355,0.05414515808224678,1.0332301616668702,0.061342813074588776,0.44166666666666665
19,0.05354524453481038,0.052485884229342146,1.0593601266543071,0.06413672119379044,0.5583333333333333
20,0.05753987083832423,0.05636848012606303,1.17139124472936,0.06588294357061386,0.4166666666666667
21,0.06014299516876539,0.05882819468776385,1.314799690246582,0.06526754051446915,0.5583333333333333
22,0.058129610121250154,0.0567306712269783,1.398938743273417,0.0645710825920105,0.5666666666666667
23,0.053310663004716236,0.05225994462768237,1.0507177750269572,0.06618916988372803,0.48333333333333334
24,0.056341216216484705,0.05505287448565165,1.2883417725563049,0.05816745385527611,0.44166666666666665
25,0.059059345225493116,0.05781568909684817,1.2436560312906901,0.06696093827486038,0.5083333333333333
26,0.05953218266367912,0.05819051787257194,1.3416647831598918,0.06889219582080841,0.4583333333333333
27,0.059645519405603406,0.05843229244152705,1.2132263978322346,0.0655909925699234,0.4583333333333333
28,0.05597420707345009,0.05479345868031184,1.1807490507761638,0.0735287144780159,0.4666666666666667
29,0.060303791364034014,0.05887295330564181,1.4308375358581542,0.06350092589855194,0.5333333333333333
30,0.055116980771223706,0.05384820625185967,1.2687741676966349,0.06823815405368805,0.575
31,0.052995399385690686,0.05191005865732829,1.0853409131368001,0.06354362517595291,0.44166666666666665
32,0.05418276091416677,0.05304674133658409,1.1360196590423584,0.0659198984503746,0.475
33,0.05388999109466871,0.05265424226721128,1.2357488512992858,0.0649835541844368,0.43333333333333335
34,0.05258394032716751,0.05133060018221537,1.2533397833506266,0.06395459175109863,0.5
