model,n_stocks,mean_delta_rmse,median_delta_rmse,relative_rmse_improvement_pct,rmse_ci_low,rmse_ci_high,rmse_wilcoxon_statistic,rmse_p_value,rmse_holm_p_value,rmse_rank_biserial,rmse_wilcoxon_n,rmse_stock_wins,rmse_stock_losses,rmse_stock_ties,rmse_run_wins,rmse_run_total
Local-MAE/Long-JEPA,5,-0.0012593210655064545,-0.0007617672492780762,2.6919544201543757,-0.002756235299905044,-0.0003201124163922578,0.0,0.0625,0.125,-1.0,5,5,0,0,12,15
GRU,5,-0.003465076276806397,-0.003908232802113614,6.52389439068462,-0.005315035703534415,-0.0016151168500783794,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
