model,mse,mae,trend_accuracy
naive_last,0.001516180345788598,0.02975279465317726,0.0
previous_patch,0.04071439430117607,0.14322292804718018,0.46311475409836067
mean_context,0.02138526178896427,0.12467949092388153,0.0
drift,0.001555431995529225,0.030249973449257388,0.5122950819672131
