model,rolling_step,horizon_step,target_index,predicted_value,locked
naive_last,13,5,17,0.23175060749053955,True
naive_last,14,1,14,0.14261412620544434,True
naive_last,14,2,15,0.14261412620544434,True
naive_last,14,3,16,0.14261412620544434,True
naive_last,14,4,17,0.14261412620544434,True
naive_last,14,5,18,0.14261412620544434,True
naive_last,15,1,15,0.17892467975616455,True
naive_last,15,2,16,0.17892467975616455,True
naive_last,15,3,17,0.17892467975616455,True
naive_last,15,4,18,0.17892467975616455,True
naive_last,15,5,19,0.17892467975616455,True
naive_last,16,1,16,0.20629000663757324,True
naive_last,16,2,17,0.20629000663757324,True
naive_last,16,3,18,0.20629000663757324,True
naive_last,16,4,19,0.20629000663757324,True
naive_last,16,5,20,0.20629000663757324,True
naive_last,17,1,17,0.24312818050384521,True
naive_last,17,2,18,0.24312818050384521,True
naive_last,17,3,19,0.24312818050384521,True
naive_last,17,4,20,0.24312818050384521,True
naive_last,17,5,21,0.24312818050384521,True
naive_last,18,1,18,0.21149814128875732,True
naive_last,18,2,19,0.21149814128875732,True
naive_last,18,3,20,0.21149814128875732,True
naive_last,18,4,21,0.21149814128875732,True
naive_last,18,5,22,0.21149814128875732,True
naive_last,19,1,19,0.20492768287658691,True
naive_last,19,2,20,0.20492768287658691,True
naive_last,19,3,21,0.20492768287658691,True
naive_last,19,4,22,0.20492768287658691,True
naive_last,19,5,23,0.20492768287658691,True
naive_last,20,1,20,0.19518959522247314,True
naive_last,20,2,21,0.19518959522247314,True
naive_last,20,3,22,0.19518959522247314,True
naive_last,20,4,23,0.19518959522247314,True
naive_last,20,5,24,0.19518959522247314,True
naive_last,21,1,21,0.25746428966522217,True
naive_last,21,2,22,0.25746428966522217,True
naive_last,21,3,23,0.25746428966522217,True
naive_last,21,4,24,0.25746428966522217,True
naive_last,21,5,25,0.25746428966522217,True
naive_last,22,1,22,0.3231620788574219,True
naive_last,22,2,23,0.3231620788574219,True
naive_last,22,3,24,0.3231620788574219,True
naive_last,22,4,25,0.3231620788574219,True
naive_last,22,5,26,0.3231620788574219,True
naive_last,23,1,23,0.500983715057373,True
naive_last,23,2,24,0.500983715057373,True
naive_last,23,3,25,0.500983715057373,True
naive_last,23,4,26,0.500983715057373,True
naive_last,23,5,27,0.500983715057373,True
naive_last,24,1,24,0.4185224771499634,True
naive_last,24,2,25,0.4185224771499634,True
naive_last,24,3,26,0.4185224771499634,True
naive_last,24,4,27,0.4185224771499634,True
naive_last,24,5,28,0.4185224771499634,True
naive_last,25,1,25,0.37621092796325684,True
naive_last,25,2,26,0.37621092796325684,True
naive_last,25,3,27,0.37621092796325684,True
naive_last,25,4,28,0.37621092796325684,True
naive_last,25,5,29,0.37621092796325684,True
naive_last,26,1,26,0.3758000135421753,True
naive_last,26,2,27,0.3758000135421753,True
naive_last,26,3,28,0.3758000135421753,True
naive_last,26,4,29,0.3758000135421753,True
naive_last,26,5,30,0.3758000135421753,True
naive_last,27,1,27,0.2798326015472412,True
naive_last,27,2,28,0.2798326015472412,True
naive_last,27,3,29,0.2798326015472412,True
naive_last,27,4,30,0.2798326015472412,True
naive_last,27,5,31,0.2798326015472412,True
naive_last,28,1,28,0.32881808280944824,True
naive_last,28,2,29,0.32881808280944824,True
naive_last,28,3,30,0.32881808280944824,True
naive_last,28,4,31,0.32881808280944824,True
naive_last,28,5,32,0.32881808280944824,True
naive_last,29,1,29,0.3789527416229248,True
naive_last,29,2,30,0.3789527416229248,True
naive_last,29,3,31,0.3789527416229248,True
naive_last,29,4,32,0.3789527416229248,True
naive_last,29,5,33,0.3789527416229248,True
naive_last,30,1,30,0.40911567211151123,True
naive_last,30,2,31,0.40911567211151123,True
naive_last,30,3,32,0.40911567211151123,True
naive_last,30,4,33,0.40911567211151123,True
naive_last,30,5,34,0.40911567211151123,True
naive_last,31,1,31,0.42243874073028564,True
naive_last,31,2,32,0.42243874073028564,True
naive_last,31,3,33,0.42243874073028564,True
naive_last,31,4,34,0.42243874073028564,True
naive_last,31,5,35,0.42243874073028564,True
naive_last,32,1,32,0.3654618263244629,True
naive_last,32,2,33,0.3654618263244629,True
naive_last,32,3,34,0.3654618263244629,True
naive_last,32,4,35,0.3654618263244629,True
naive_last,32,5,36,0.3654618263244629,True
naive_last,33,1,33,0.5022878646850586,True
naive_last,33,2,34,0.5022878646850586,True
naive_last,33,3,35,0.5022878646850586,True
naive_last,33,4,36,0.5022878646850586,True
naive_last,33,5,37,0.5022878646850586,True
naive_last,34,1,34,0.31707918643951416,True
naive_last,34,2,35,0.31707918643951416,True
naive_last,34,3,36,0.31707918643951416,True
naive_last,34,4,37,0.31707918643951416,True
naive_last,34,5,38,0.31707918643951416,True
naive_last,35,1,35,0.26382148265838623,True
naive_last,35,2,36,0.26382148265838623,True
naive_last,35,3,37,0.26382148265838623,True
naive_last,35,4,38,0.26382148265838623,True
naive_last,35,5,39,0.26382148265838623,True
naive_last,36,1,36,0.21950554847717285,True
naive_last,36,2,37,0.21950554847717285,True
naive_last,36,3,38,0.21950554847717285,True
naive_last,36,4,39,0.21950554847717285,True
