forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,30,2025-01-02T00:00:00,0.004784826189279556,-0.060816168785095215,0.06560099124908447,0.06560099124908447,0.0043034900528624576
relative_return,0,2,31,2025-01-03T00:00:00,0.019451458007097244,0.016343116760253906,0.003108341246843338,0.003108341246843338,9.661785306827597e-06
relative_return,0,3,32,2025-01-06T00:00:00,0.008619783446192741,0.017853617668151855,-0.009233834221959114,0.009233834221959114,8.526369443862328e-05
relative_return,0,4,33,2025-01-07T00:00:00,0.016030017286539078,-0.023474693298339844,0.03950471058487892,0.03950471058487892,0.0015606221583950447
relative_return,0,5,34,2025-01-08T00:00:00,0.0025905566290020943,-0.022038400173187256,0.024628955870866776,0.024628955870866776,0.000606585467289103
relative_return,1,1,35,2025-01-10T00:00:00,0.007216397672891617,-0.0005064606666564941,0.007722858339548111,0.007722858339548111,5.9642540932727806e-05
relative_return,1,2,36,2025-01-13T00:00:00,0.022187072783708572,0.02119302749633789,0.0009940452873706818,0.0009940452873706818,9.881260333438613e-07
relative_return,1,3,37,2025-01-14T00:00:00,0.010171541944146156,0.0035954713821411133,0.006576070562005043,0.006576070562005043,4.324470403646932e-05
relative_return,1,4,38,2025-01-15T00:00:00,0.01706821098923683,0.08426594734191895,-0.06719774007797241,0.06719774007797241,0.00451553627158674
relative_return,1,5,39,2025-01-16T00:00:00,0.007315533235669136,0.04780471324920654,-0.040489181876182556,0.040489181876182556,0.00163937384900259
relative_return,2,1,40,2025-01-17T00:00:00,0.01158013567328453,0.03064131736755371,-0.01906118169426918,0.01906118169426918,0.0003633286475819425
relative_return,2,2,41,2025-01-21T00:00:00,0.027286436408758163,0.024769186973571777,0.002517249435186386,0.002517249435186386,6.33654471894618e-06
relative_return,2,3,42,2025-01-22T00:00:00,0.01563369855284691,0.003117203712463379,0.01251649484038353,0.01251649484038353,0.00015666264308934752
relative_return,2,4,43,2025-01-23T00:00:00,0.02199726179242134,-0.00347977876663208,0.02547704055905342,0.02547704055905342,0.000649079595647653
relative_return,2,5,44,2025-01-24T00:00:00,0.015547256916761398,-0.017495572566986084,0.03304282948374748,0.03304282948374748,0.001091828580292012
relative_return,3,1,45,2025-01-27T00:00:00,0.006572645157575607,-0.02319347858428955,0.029766123741865158,0.029766123741865158,0.0008860221226160286
relative_return,3,2,46,2025-01-28T00:00:00,0.018732871860265732,-0.020881474018096924,0.039614345878362656,0.039614345878362656,0.0015692963993705483
relative_return,3,3,47,2025-01-29T00:00:00,0.011750245466828346,-0.04299271106719971,0.054742954671382904,0.054742954671382904,0.0029967910861530833
relative_return,3,4,48,2025-01-30T00:00:00,0.01976941153407097,-0.015495061874389648,0.03526447340846062,0.03526447340846062,0.001243583084776026
relative_return,3,5,49,2025-01-31T00:00:00,0.01064380630850792,-0.004869818687438965,0.015513624995946884,0.015513624995946884,0.00024067256051486796
relative_return,4,1,50,2025-02-03T00:00:00,0.000584091991186142,-0.05170542001724243,0.052289512008428574,0.052289512008428574,0.002734193066079596
relative_return,4,2,51,2025-02-04T00:00:00,0.009672138839960098,-0.030622899532318115,0.040295038372278214,0.040295038372278214,0.0016236901174233737
relative_return,4,3,52,2025-02-05T00:00:00,0.0074277110397815704,-0.06532377004623413,0.0727514773607254,0.0727514773607254,0.005292777458168141
relative_return,4,4,53,2025-02-06T00:00:00,0.016337793320417404,-0.07483935356140137,0.09117715060710907,0.09117715060710907,0.00831327279283145
relative_return,4,5,54,2025-02-07T00:00:00,0.005846960470080376,-0.10622841119766235,0.11207537353038788,0.11207537353038788,0.012560889351975968
relative_return,5,1,55,2025-02-10T00:00:00,0.0040029846131801605,-0.030114412307739258,0.03411739692091942,0.03411739692091942,0.0011639967726595618
relative_return,5,2,56,2025-02-11T00:00:00,0.01338140293955803,-0.0915878415107727,0.10496924817562103,0.10496924817562103,0.01101854306255512
relative_return,5,3,57,2025-02-12T00:00:00,0.008423017337918282,-0.06943750381469727,0.0778605192899704,0.0778605192899704,0.0060622604641038524
relative_return,5,4,58,2025-02-13T00:00:00,0.017381463199853897,-0.015707075595855713,0.03308853879570961,0.03308853879570961,0.00109485139963518
relative_return,5,5,59,2025-02-14T00:00:00,0.009803395718336105,-0.015983641147613525,0.02578703686594963,0.02578703686594963,0.0006649712703258454
relative_return,6,1,60,2025-02-18T00:00:00,0.006325880065560341,-0.004861772060394287,0.011187652125954628,0.011187652125954628,0.0001251635600913771
relative_return,6,2,61,2025-02-19T00:00:00,0.01672699674963951,0.01326441764831543,0.0034625791013240814,0.0034625791013240814,1.1989454032926283e-05
relative_return,6,3,62,2025-02-20T00:00:00,0.01097879372537136,-0.004046797752380371,0.015025591477751732,0.015025591477751732,0.00022576839925628547
relative_return,6,4,63,2025-02-21T00:00:00,0.017089758068323135,-0.0506969690322876,0.06778672337532043,0.06778672337532043,0.004595039865962214
relative_return,6,5,64,2025-02-24T00:00:00,0.016405047848820686,-0.07112747430801392,0.08753252029418945,0.08753252029418945,0.0076619421090526885
relative_return,7,1,65,2025-02-25T00:00:00,0.005150642246007919,-0.08389562368392944,0.08904626965522766,0.08904626965522766,0.007929238139511519
relative_return,7,2,66,2025-02-26T00:00:00,0.013767007738351822,-0.12020093202590942,0.13396793603897095,0.13396793603897095,0.01794740788654181
relative_return,7,3,67,2025-02-27T00:00:00,0.01033976674079895,-0.1469760537147522,0.15731582045555115,0.15731582045555115,0.024748267365603205
relative_return,7,4,68,2025-02-28T00:00:00,0.0168025903403759,-0.11360538005828857,0.13040797412395477,0.13040797412395477,0.017006239715114058
relative_return,7,5,69,2025-03-03T00:00:00,0.014727851375937462,-0.13880735635757446,0.15353520214557648,0.15353520214557648,0.02357305829788303
relative_return,8,1,70,2025-03-04T00:00:00,-0.0025978051126003265,-0.044299960136413574,0.04170215502381325,0.04170215502381325,0.0017390697336301525
relative_return,8,2,71,2025-03-05T00:00:00,0.0030892305076122284,-0.019497573375701904,0.022586803883314133,0.022586803883314133,0.0005101637096632944
relative_return,8,3,72,2025-03-06T00:00:00,0.005011381581425667,-0.07447737455368042,0.07948875427246094,0.07948875427246094,0.006318462055787677
relative_return,8,4,73,2025-03-07T00:00:00,0.013129148632287979,-0.07721757888793945,0.09034672379493713,0.09034672379493713,0.00816253050047866
relative_return,8,5,74,2025-03-10T00:00:00,0.008418356999754906,-0.2195678949356079,0.22798624634742737,0.22798624634742737,0.05197772852358984
relative_return,9,1,75,2025-03-11T00:00:00,0.0002874992787837982,0.03794741630554199,-0.037659917026758194,0.037659917026758194,0.0014182693504623117
relative_return,9,2,76,2025-03-12T00:00:00,0.004298616200685501,0.1167680025100708,-0.1124693900346756,0.1124693900346756,0.012649363694771987
relative_return,9,3,77,2025-03-13T00:00:00,0.005010630935430527,0.0834120512008667,-0.07840141654014587,0.07840141654014587,0.006146782115501459
relative_return,9,4,78,2025-03-14T00:00:00,0.012712564319372177,0.12527573108673096,-0.11256316304206848,0.11256316304206848,0.012670465674035292
relative_return,9,5,79,2025-03-17T00:00:00,0.010942358523607254,0.07139325141906738,-0.06045089289546013,0.06045089289546013,0.003654310451858392
relative_return,10,1,80,2025-03-18T00:00:00,-0.001976925879716873,-0.05335909128189087,0.051382165402173996,0.051382165402173996,0.0026401269214163664
relative_return,10,2,81,2025-03-19T00:00:00,0.0016128793358802795,-0.009033203125,0.01064608246088028,0.01064608246088028,0.00011333907176386271
relative_return,10,3,82,2025-03-20T00:00:00,0.004972591996192932,-0.007352650165557861,0.012325242161750793,0.012325242161750793,0.00015191159434579937
relative_return,10,4,83,2025-03-21T00:00:00,0.011829350143671036,0.044956088066101074,-0.03312673792243004,0.03312673792243004,0.0010973807653813644
relative_return,10,5,84,2025-03-24T00:00:00,0.013177553191781044,0.1696568727493286,-0.15647931396961212,0.15647931396961212,0.024485775700400447
relative_return,11,1,85,2025-03-25T00:00:00,0.0015476718544960022,0.035022854804992676,-0.033475182950496674,0.033475182950496674,0.0011205878735692232
relative_return,11,2,86,2025-03-26T00:00:00,0.005477916449308395,-0.02273792028427124,0.028215836733579636,0.028215836733579636,0.0007961334425760219
relative_return,11,3,87,2025-03-27T00:00:00,0.0078108832240104675,-0.01889437437057495,0.02670525759458542,0.02670525759458542,0.0007131707831931622
relative_return,11,4,88,2025-03-28T00:00:00,0.012966353446245193,-0.05330657958984375,0.06627292931079865,0.06627292931079865,0.004392101159434114
relative_return,11,5,89,2025-03-31T00:00:00,0.017123974859714508,-0.06907576322555542,0.08619973808526993,0.08619973808526993,0.007430394845969135
relative_return,12,1,90,2025-04-01T00:00:00,0.002364564687013626,0.03588509559631348,-0.03352053090929985,0.03352053090929985,0.0011236259924413267
relative_return,12,2,91,2025-04-02T00:00:00,0.006679277867078781,0.0910634994506836,-0.08438421785831451,0.08438421785831451,0.007120696223559486
relative_return,12,3,92,2025-04-03T00:00:00,0.007989421486854553,0.03133201599121094,-0.023342594504356384,0.023342594504356384,0.0005448767181948089
