config_signature,strategy,forecast_target,normalization,feature_transform,forecast_horizon,checkpoint_selection,encoder_weight_source,fine_tune_encoder,trend_weight,test_start,test_end,run_rows,source_files
1870a762df46b3a6,local_long,value,window_return,raw,5,fixed_pretraining_epoch_2000,ema,True,0.001,2025-04-01T00:00:00,2025-12-31T00:00:00,45,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/AVGO/seed_42/last_model_comparison_20260825_104923.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/AVGO/seed_46/last_model_comparison_20260825_105342.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/AVGO/seed_50/last_model_comparison_20260825_105802.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/COST/seed_42/last_model_comparison_20260825_110221.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/COST/seed_46/last_model_comparison_20260825_110643.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/COST/seed_50/last_model_comparison_20260825_111102.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/NVDA/seed_42/last_model_comparison_20260825_103620.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/NVDA/seed_46/last_model_comparison_20260825_104041.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/local_long/NVDA/seed_50/last_model_comparison_20260825_104504.csv
1870a762df46b3a6,random,value,window_return,raw,5,fixed_pretraining_epoch_2000,ema,True,0.001,2025-04-01T00:00:00,2025-12-31T00:00:00,45,results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_42/last_model_comparison_20260825_104926.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_46/last_model_comparison_20260825_105344.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/AVGO/seed_50/last_model_comparison_20260825_105804.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_42/last_model_comparison_20260825_110226.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_46/last_model_comparison_20260825_110644.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/COST/seed_50/last_model_comparison_20260825_111106.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_42/last_model_comparison_20260825_103625.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_46/last_model_comparison_20260825_104044.csv;results/top10_with_sentiment_jepa_lam_1_mae_lam_3/random/NVDA/seed_50/last_model_comparison_20260825_104505.csv
