stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Shared-target JEPA--MAE,3,0.00014679767770757005,-0.660648406249689
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Shared-target JEPA--MAE,3,-0.0035781414101255286,4.971954264324268
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Shared-target JEPA--MAE,3,-0.002094978611520658,3.637239861163126
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Shared-target JEPA--MAE,3,-0.004405902318966541,5.02753882580809
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Shared-target JEPA--MAE,3,-0.0011172383442914966,6.11600129256265
