method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Local-MAE/Long-JEPA,0.04922289617047903,0.029394263048197877,0.5277777777777778,0.020412414523193128,2.6,3.2,0,3,1,0,5,5
GRU,0.04807244567014985,0.028580411571259415,0.5422222222222223,0.04168518107178681,1.0,2.6,5,0,2,0,5,5
Naive-last,0.051537521946956245,0.030510355795937562,0.003333333333333333,0.004564354645876384,4.6,5.0,0,0,0,0,5,5
Drift,0.05113457331302189,0.030452523093334728,0.5599999999999999,0.04944132324730442,3.4,2.0,0,1,2,3,5,5
Mean-context,0.05123115301368838,0.030249661015053445,0.5583333333333333,0.0517069735249619,3.4,2.2,0,1,2,2,5,5
