method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.0492466415950265,0.03335333734572854,0.5233333333333334,0.04928501136937081,2.2,2.6,2,2,0,3,5,5
GRU,0.05048467662466518,0.038297619242570476,0.5444444444444445,0.09582326839255743,1.8,2.6,3,1,2,0,5,5
Naive-last,0.05594134753529163,0.040385242807345526,0.006666666666666666,0.009128709291752768,4.0,5.0,0,1,0,0,5,5
Drift,0.05545604969332892,0.03868682520520104,0.5366666666666666,0.07582875444051551,3.6,2.5,0,0,2,0,5,5
Mean-context,0.05526410276787561,0.038209492403702056,0.5399999999999999,0.058452259722500635,3.4,2.3,0,1,2,1,5,5
