stock,method,relative_rmse_improvement_pct,n_paired_seeds
AAPL,Drift,-0.8893487838696399,3
AAPL,GRU,12.64477000957958,3
AAPL,Mean-context,-0.7800820358166446,3
AAPL,Shared-target JEPA--MAE,-3.9463511638892173,3
AVGO,Drift,1.6401969888312646,3
AVGO,GRU,14.781509640182804,3
AVGO,Mean-context,2.024097176277561,3
AVGO,Shared-target JEPA--MAE,16.93797046527538,3
NVDA,Drift,-6.742892412958589,3
NVDA,GRU,15.317861225552397,3
NVDA,Mean-context,-7.201055925452898,3
NVDA,Shared-target JEPA--MAE,10.01374113194339,3
TSLA,Drift,3.915304305787442,3
TSLA,GRU,3.498332302379095,3
TSLA,Mean-context,4.923958262736571,3
TSLA,Shared-target JEPA--MAE,13.249573399265927,3
WMT,Drift,1.8887941231118093,3
WMT,GRU,5.497009966277492,3
WMT,Mean-context,0.26493467760119715,3
WMT,Shared-target JEPA--MAE,3.917599209443047,3
AAPL,Naive-last,0.0,3
AVGO,Naive-last,0.0,3
NVDA,Naive-last,0.0,3
TSLA,Naive-last,0.0,3
WMT,Naive-last,0.0,3
