model,n_stocks,mean_delta_rmse,median_delta_rmse,relative_rmse_improvement_pct,rmse_ci_low,rmse_ci_high,rmse_wilcoxon_statistic,rmse_p_value,rmse_holm_p_value,rmse_rank_biserial,rmse_wilcoxon_n,rmse_stock_wins,rmse_stock_losses,rmse_stock_ties,rmse_run_wins,rmse_run_total
Local-MAE/Long-JEPA,5,-0.003801190436518196,-0.0016255256388739505,5.861012086247034,-0.007585876002784786,-0.000723021181763585,1.0,0.125,0.125,-0.8666666666666667,5,4,1,0,11,15
GRU,5,-0.002358097920327229,-0.0021791649838766164,5.385600259067823,-0.0034947058254814834,-0.0014487538699775768,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
