stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0008894797804295829,4.0030156369553
AAPL,Local-MAE/Long-JEPA,3,-0.001021297811145759,4.596249625854591
AVGO,GRU,3,-0.00307914429298795,4.278580090397849
AVGO,Local-MAE/Long-JEPA,3,-0.0038087836085847295,5.292439770826963
NVDA,GRU,3,-0.0037712728780964883,6.5475723542491515
NVDA,Local-MAE/Long-JEPA,3,-0.0025703451243999273,4.46255713161085
TSLA,GRU,3,-0.0025928965668541256,2.958732903597678
TSLA,Local-MAE/Long-JEPA,3,-0.003933242357793844,4.488190439446662
WMT,GRU,3,-0.002783839329527046,15.23933100279625
WMT,Local-MAE/Long-JEPA,3,-0.001131872611267656,6.196112395264426
