epoch,train_loss,rmse_loss,trend_loss,val_rmse,val_trend_acc
0,0.20384888350963593,0.19325560480356216,10.593278980255127,0.07811170816421509,0.5166666666666667
1,0.06715814272562663,0.06366611892978351,3.4920228640238444,0.041498638689517975,0.4666666666666667
2,0.03600108921527863,0.03450894219179948,1.4921469370524088,0.029668482020497322,0.5416666666666666
3,0.031071274106701217,0.029719524085521698,1.3517496983210247,0.025421034544706345,0.5416666666666666
4,0.030198257292310397,0.028977661579847335,1.220595383644104,0.028637513518333435,0.39166666666666666
5,0.03156520090997219,0.030257529641191164,1.3076712330182394,0.026372751221060753,0.4166666666666667
6,0.029145585000514986,0.028030309453606607,1.1152756253878275,0.030047649517655373,0.5
7,0.029120497529705365,0.028012504428625108,1.1079931537310281,0.029610056430101395,0.5333333333333333
8,0.029793316001693406,0.02856926657259464,1.2240493019421896,0.03026864491403103,0.4666666666666667
9,0.03022495297094186,0.029030849287907282,1.1941037933031717,0.025572024285793304,0.425
10,0.029615184788902602,0.02840604310234388,1.2091416835784912,0.023640237748622894,0.43333333333333335
11,0.031233838573098183,0.030135064696272213,1.098774015903473,0.02650696039199829,0.45
12,0.02936240943769614,0.028343507399161656,1.0189020355542502,0.028116753324866295,0.45
13,0.02963424983123938,0.028384549791614214,1.249700133005778,0.025955086573958397,0.4666666666666667
14,0.03236133543153604,0.03112516477704048,1.2361705621083579,0.026044409722089767,0.475
15,0.02661226081351439,0.0255749041835467,1.037356436252594,0.024562904611229897,0.475
16,0.02835947498679161,0.027338344852129617,1.0211299022038778,0.026311995461583138,0.525
17,0.02835388407111168,0.027289712304870286,1.0641716241836547,0.025526713579893112,0.43333333333333335
18,0.027763381600379944,0.02673470638692379,1.0286749164263407,0.025222985073924065,0.4666666666666667
19,0.028031962861617406,0.026984338214000068,1.047624405225118,0.02388238161802292,0.4583333333333333
20,0.025639339163899422,0.024704288194576898,0.9350507616996765,0.022108973935246468,0.45
21,0.028733457997441293,0.027727369964122773,1.0060880859692891,0.022407373413443565,0.48333333333333334
22,0.02846233422557513,0.02750887597600619,0.9534585158030192,0.023480460047721863,0.4666666666666667
23,0.026925570145249367,0.025967871025204658,0.9576990683873494,0.020348403602838516,0.525
24,0.026213042438030243,0.025283672412236533,0.9293700218200683,0.020368952304124832,0.5
25,0.02664609675606092,0.02575791801015536,0.8881785670916239,0.018851257860660553,0.43333333333333335
26,0.02670497807363669,0.02586009589334329,0.8448822935422261,0.02450871653854847,0.4583333333333333
27,0.02783902163306872,0.02683552118639151,1.0035000602404276,0.02499515190720558,0.425
28,0.02989269345998764,0.02859722649057706,1.2954669833183288,0.026679614558815956,0.525
29,0.02958114966750145,0.028407961999376615,1.173187537988027,0.024751262739300728,0.475
30,0.026932616780201594,0.026042734955747923,0.889881416161855,0.022205283865332603,0.5166666666666667
31,0.02851158529520035,0.027540582666794457,0.9710027893384298,0.020903605967760086,0.44166666666666665
