stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Shared-target JEPA--MAE,3,0.00037188962045310234,-1.6736523962086778
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Shared-target JEPA--MAE,3,-0.006938535681475538,9.641341164453344
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Shared-target JEPA--MAE,3,-0.0009975678632884201,1.7319477996647752
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Shared-target JEPA--MAE,3,-0.009523401511823215,10.867074979928594
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Shared-target JEPA--MAE,3,-0.001110476799718603,6.0789871535843085
