model,mse,mae,trend_accuracy
naive_last,0.001578636816702783,0.030024966225028038,0.0
GRU,0.001604367047548294,0.030864737927913666,0.5204918032786885
drift,0.0016237596667457695,0.030692321370684037,0.5204918032786885
TS-JEPA,0.002040572464466095,0.035486504435539246,0.5122950819672131
mean_context,0.022008094936609268,0.1265486627817154,0.0
previous_patch,0.03455489128828049,0.13510163128376007,0.4959016393442623
