epoch,train_loss,mse_loss,trend_loss,val_mse,val_mae,val_trend_acc
0,0.049446051567792894,0.03868322794636091,10.76282335917155,0.016017427667975426,0.0981825664639473,0.5208333333333334
1,0.010617948758105436,0.007327947579324245,3.2900010347366333,0.006951841525733471,0.06911193579435349,0.375
2,0.006281299764911334,0.0038976334035396576,2.3836662928263346,0.004146176390349865,0.04744917154312134,0.5416666666666666
3,0.004623883947109182,0.0027613033540546893,1.8625805457433064,0.002408235799521208,0.03776058927178383,0.4583333333333333
4,0.0036786549879858892,0.002261022354165713,1.4176324923833212,0.0021695273462682962,0.03426329419016838,0.5
5,0.00332357509372135,0.0019291401801941296,1.3944348573684693,0.0020451112650334835,0.0343681164085865,0.5208333333333334
6,0.003183307700480024,0.001811349617006878,1.3719580094019572,0.002229151548817754,0.03415578231215477,0.5416666666666666
7,0.003049836090455453,0.0017139836602533857,1.3358523368835449,0.001921954215504229,0.03254516422748566,0.4791666666666667
8,0.002903957230349382,0.0016244447945306698,1.2795124212900797,0.0017661239253357053,0.03170245513319969,0.5833333333333334
9,0.003060934149349729,0.0016823168378323316,1.378617231051127,0.0033308202400803566,0.04462265968322754,0.5833333333333334
10,0.0033092877206703027,0.001856454221221308,1.452833398183187,0.0021379117388278246,0.03585683926939964,0.3958333333333333
11,0.002880113013088703,0.001493811122296999,1.386301835378011,0.002168564358726144,0.03546200692653656,0.4166666666666667
12,0.0028409295560171207,0.0014975879263753693,1.343341596921285,0.0018784849671646953,0.03357114642858505,0.3958333333333333
13,0.0027058130285392205,0.0014173524493041139,1.2884605288505555,0.0018088570795953274,0.031915463507175446,0.6041666666666666
14,0.0027704168033475677,0.001418720317694048,1.3516964395840962,0.0017008448485285044,0.03085288591682911,0.3333333333333333
15,0.002803056330109636,0.0014377265702933072,1.3653297026952107,0.0017175150569528341,0.0315435416996479,0.5208333333333334
16,0.002560860849916935,0.001303581982695808,1.257278815905253,0.001983538968488574,0.03389908745884895,0.4166666666666667
17,0.0027564470112944645,0.001401905568006138,1.3545414050420126,0.001789083587937057,0.03285262733697891,0.3958333333333333
18,0.0028841905295848846,0.0014626944825674097,1.4214960098266602,0.002444170182570815,0.037322718650102615,0.4375
19,0.0026055241546904047,0.0013539441822407146,1.2515798807144165,0.0015298485523089767,0.028834562748670578,0.4375
20,0.0022511894116178156,0.0012318784991900125,1.0193108757336935,0.0016990553122013807,0.029460042715072632,0.4791666666666667
21,0.002384302563344439,0.0012769486095445851,1.1073538700739542,0.0016571059823036194,0.03050415590405464,0.5416666666666666
22,0.0026365174446254967,0.0013902066779943804,1.2463107069333395,0.0017199058784171939,0.032692935317754745,0.4791666666666667
23,0.0024971561972051857,0.0013566810288466514,1.140475078423818,0.0015801155241206288,0.029105035588145256,0.5625
24,0.002535504708066583,0.0012940966640599071,1.2414079825083415,0.0016168308211490512,0.03060314618051052,0.6041666666666666
25,0.002651075925678015,0.0013170013359437387,1.3340745528539022,0.0020172251388430595,0.03179240971803665,0.5416666666666666
26,0.0027093461637074747,0.001326870002473394,1.3824761112531025,0.0014830700820311904,0.029648657888174057,0.4375
27,0.0025218603977312645,0.0012902917107567192,1.2315686027208963,0.0017493763007223606,0.031670939177274704,0.5
28,0.0025681426438192525,0.001390653297615548,1.1774892886479695,0.0020014438778162003,0.03186262398958206,0.5833333333333334
29,0.0024040878439942994,0.001246032778484126,1.1580550034840902,0.0019355869153514504,0.03396175801753998,0.3541666666666667
30,0.0028960914506266514,0.0014241929709290465,1.4718983888626098,0.0017216613050550222,0.03142055496573448,0.5208333333333334
31,0.002656819143642982,0.0013429743975090483,1.3138447086016336,0.001801559585146606,0.031078379601240158,0.4791666666666667
32,0.0023210372465352217,0.0011766685250525673,1.1443686644236246,0.0014671273529529572,0.030295303091406822,0.5833333333333334
33,0.002059437590651214,0.0011536242285122473,0.9058133204778035,0.001662976574152708,0.03177348151803017,0.4166666666666667
34,0.0022238401152814427,0.0011944021913222968,1.0294378558794657,0.0016311320941895247,0.0315355621278286,0.4583333333333333
35,0.002469778518813352,0.001220885175280273,1.2488932649294535,0.0017293748678639531,0.03225109353661537,0.6458333333333334
36,0.0027638881234452128,0.0013564061257056892,1.4074819366137186,0.001395827392116189,0.027576010674238205,0.4791666666666667
37,0.0022793403981874387,0.001234340659963588,1.0449996987978618,0.0015769460005685687,0.029951805248856544,0.5625
38,0.002735764781634013,0.0013499913232711454,1.3857734282811482,0.0019618049263954163,0.03440490737557411,0.3541666666666667
39,0.002330750739201903,0.0011799366873068114,1.1508139808972677,0.0016036063898354769,0.029811328276991844,0.5
40,0.0021163568831980228,0.0011775435918631653,0.9388132532437642,0.0013034535804763436,0.026277167722582817,0.5
41,0.0024734286048139135,0.0013487744610756636,1.1246540745099385,0.0018415490631014109,0.033102862536907196,0.5416666666666666
42,0.0024647638589764633,0.0012261937217166027,1.2385700424512227,0.0019666431471705437,0.031463928520679474,0.5625
43,0.0022708449124669034,0.0011867492246286323,1.0840956370035808,0.0017822090303525329,0.03359594568610191,0.5
44,0.0022100891219452024,0.0011881487793289126,1.02194029490153,0.001799769583158195,0.03186744078993797,0.5208333333333334
45,0.0027313119110961757,0.0012706183983633916,1.4606934467951456,0.0015893434174358845,0.030687758699059486,0.4375
46,0.002420506478908161,0.0011855932379451891,1.234913178284963,0.00185990403406322,0.03271942213177681,0.4166666666666667
47,0.002658903032230834,0.0013223099522292614,1.3365930159886679,0.0015906636836007237,0.03101578913629055,0.6041666666666666
48,0.002765405084937811,0.0013723525994767745,1.3930524349212647,0.002169952727854252,0.03541668504476547,0.375
49,0.002608826057985425,0.0013910243598123392,1.2178016146024069,0.001767463400028646,0.030769454315304756,0.5416666666666666
50,0.0022704988485202195,0.001190084913590302,1.0804138660430909,0.001615863642655313,0.03025505505502224,0.4166666666666667
51,0.0021063085257386166,0.0011071266955696047,0.9991817593574523,0.0016697257524356246,0.03044698014855385,0.3333333333333333
52,0.0025395636446774008,0.001228485597918431,1.3110779603322347,0.00216999975964427,0.035866495221853256,0.6041666666666666
53,0.0026804033123577634,0.0012878190920067331,1.392584172884623,0.0019450276158750057,0.033521946519613266,0.5833333333333334
54,0.0022279089549556374,0.001126839208882302,1.10106973250707,0.0016922547947615385,0.0303385928273201,0.5
55,0.0020327462659527856,0.0010938533348962664,0.9388928850491841,0.0018460211576893926,0.03360259532928467,0.4166666666666667
56,0.002131739545923968,0.0012140513087312381,0.9176882068316142,0.0019681151024997234,0.03044452704489231,0.3958333333333333
57,0.0019839509933566053,0.0010532462309735516,0.9307047088940938,0.001883538905531168,0.030772129073739052,0.4791666666666667
58,0.0025032447030146916,0.0012818753447694084,1.2213693141937256,0.0019912708085030317,0.034418992698192596,0.6458333333333334
59,0.0026977795098597807,0.0013949866406619549,1.3027927875518799,0.0020939172245562077,0.032334670424461365,0.4583333333333333
60,0.002380889964600404,0.001222196112697323,1.158693798383077,0.0020259541925042868,0.03296416625380516,0.5208333333333334
61,0.0024657186198358736,0.0012311239882061879,1.2345945715904236,0.0017432421445846558,0.030748294666409492,0.4583333333333333
62,0.0022611780868222317,0.0011233247312096258,1.1378532965977988,0.002012482611462474,0.03417551890015602,0.5833333333333334
63,0.0021868287585675716,0.001206455600913614,0.9803731083869934,0.0028829313814640045,0.038547124713659286,0.5416666666666666
64,0.0023690782720223067,0.0015135171978423992,0.8555610338846843,0.0019094613380730152,0.03228075057268143,0.625
65,0.0022055957621584335,0.0011944018420763313,1.01119384765625,0.001768210669979453,0.031963102519512177,0.6041666666666666
66,0.002219303355862697,0.001158791435106347,1.060511835416158,0.0014820677461102605,0.02778194099664688,0.5
67,0.001930842362344265,0.001036180160008371,0.8946621497472127,0.0018200852209702134,0.032673973590135574,0.5208333333333334
68,0.0022507466608658435,0.0011781654437072575,1.0725811958312987,0.0017186354380100965,0.030707651749253273,0.4791666666666667
69,0.0020726736324528853,0.0010838109767064453,0.9888625899950664,0.001589033636264503,0.029772071167826653,0.625
70,0.002181216306053102,0.00114476674158747,1.0364494919776917,0.0017829216085374355,0.03061043471097946,0.4375
71,0.002155127516016364,0.001190204278100282,0.9649231831232706,0.001866564154624939,0.033005241304636,0.4791666666666667
72,0.0021306980090836686,0.0011125801713205874,1.0181178053220112,0.0016810527304187417,0.031641408801078796,0.5
73,0.0021580659008274476,0.0011100858449935914,1.047979998588562,0.0021934339310973883,0.03437664732336998,0.3541666666666667
74,0.002407986445662876,0.0011732653326665362,1.2347210367520651,0.001599335577338934,0.029360566288232803,0.5416666666666666
75,0.0018313464553405842,0.0009938139390821257,0.8375324646631876,0.0017626382177695632,0.03212132304906845,0.4375
76,0.0017987067190309365,0.0009644151510049899,0.8342915574709574,0.001802446786314249,0.03121243230998516,0.5208333333333334
77,0.0019610993020857375,0.0010057885704251627,0.9553106745084127,0.002126930980011821,0.03503091260790825,0.5208333333333334
78,0.0025173024429629245,0.0012797813047654926,1.2375210881233216,0.0019806602504104376,0.033432524651288986,0.4791666666666667
79,0.002298642609578868,0.0012220210356948277,1.0766215403874715,0.002205455210059881,0.03686204180121422,0.5416666666666666
80,0.0026966165906439224,0.0013776784762740135,1.3189380645751954,0.0017627202905714512,0.030214589089155197,0.625
81,0.0034890062486131984,0.0016474703947703044,1.841535790761312,0.003018775023519993,0.0416313074529171,0.5416666666666666
82,0.0024050618056207897,0.0011671398029041787,1.237921913464864,0.0018949911464005709,0.03208478167653084,0.3958333333333333
83,0.0023865962478642664,0.0011235475346135597,1.2630486488342285,0.0019271440105512738,0.03491169214248657,0.625
84,0.002142167192262908,0.0011250782563971976,1.0170888980229695,0.0019328915514051914,0.035226430743932724,0.625
85,0.0021680130390450358,0.001057173307829847,1.1108396887779235,0.0018046314362436533,0.0339096300303936,0.625
86,0.0020986657589673998,0.0010796453182895978,1.0190203706423442,0.0017806068062782288,0.03411077708005905,0.6041666666666666
87,0.0021064119646325707,0.0011846034671179951,0.9218084653218587,0.0022336700931191444,0.03933821991086006,0.5
88,0.002489318000152707,0.0013140273823713264,1.1752905289332072,0.0019090885762125254,0.03382338210940361,0.3958333333333333
89,0.0024757901672273876,0.0011991621848816672,1.2766279339790345,0.0017954017966985703,0.0313967727124691,0.5416666666666666
90,0.002514616306871176,0.0012338465700546901,1.280769662062327,0.002822673413902521,0.0435309000313282,0.5
91,0.0026985416188836098,0.001311214609692494,1.3873269319534303,0.0018299143994227052,0.032575320452451706,0.6041666666666666
92,0.0020626141379276913,0.0010892155929468571,0.973398502667745,0.0024588429369032383,0.03917774185538292,0.3333333333333333
93,0.002289214334450662,0.0011733636958524585,1.1158505916595458,0.0021888252813369036,0.03493765369057655,0.5416666666666666
94,0.0022676997895662984,0.0011529051970380047,1.1147945642471313,0.0016577193746343255,0.029831988736987114,0.3958333333333333
95,0.0017383893951773643,0.0009310267380593965,0.8073626160621643,0.002455874113366008,0.036030299961566925,0.4791666666666667
96,0.0019543576442326107,0.0010889706667512656,0.8653869072596232,0.0018520527519285679,0.03427259996533394,0.6041666666666666
97,0.002109049594340225,0.0010937407962046564,1.0153087735176087,0.001964609371498227,0.03172742947936058,0.5416666666666666
98,0.0020900577151527007,0.0010786472897355754,1.011410403251648,0.0015567821683362126,0.02872209995985031,0.4166666666666667
99,0.0019039648274580638,0.0009855844856550297,0.9183803081512452,0.002091489266604185,0.032723091542720795,0.5208333333333334
100,0.0020963040335724753,0.001107809067859004,0.9884949525197347,0.002201453084126115,0.039416320621967316,0.5208333333333334
101,0.0021577256343637903,0.0011318386998027564,1.0258869091669718,0.0016492590075358748,0.03159261494874954,0.625
102,0.0020837183886518082,0.0010487431233438353,1.0349752147992453,0.0017818654887378216,0.03097457066178322,0.5416666666666666
103,0.002301703005408247,0.0010901754799609383,1.211527450879415,0.0021280215587466955,0.036995187401771545,0.3958333333333333
104,0.002284653531387448,0.0012149544316343963,1.0696990052858988,0.0022850672248750925,0.038057323545217514,0.3541666666666667
105,0.0027538460834572714,0.0014488769384721914,1.3049691001574197,0.0022549957502633333,0.038142070174217224,0.5416666666666666
106,0.0020321787723029654,0.0011073307211821278,0.9248480081558228,0.00204785936512053,0.03605274856090546,0.4375
107,0.0022134881544237333,0.0011695766317037246,1.0439114928245545,0.0017383442027494311,0.033850740641355515,0.5625
108,0.0023415679267297187,0.001289046109498789,1.0525217652320862,0.0015977415023371577,0.030808424577116966,0.5625
109,0.0023085265109936397,0.0012953124513539174,1.0132140358289083,0.0018220909405499697,0.03353569284081459,0.4375
110,0.0019061046574885647,0.0010023595066741108,0.9037451028823853,0.0018715133192017674,0.034596480429172516,0.5416666666666666
111,0.0022363135901590186,0.0010749473508136968,1.1613661726315816,0.001726743532344699,0.030037373304367065,0.4375
112,0.0017512165087585649,0.000922826339956373,0.828390097618103,0.0017478677909821272,0.029926111921668053,0.4791666666666667
113,0.0018575603297601143,0.0009713260728555421,0.886234192053477,0.0019779177382588387,0.031124699860811234,0.5416666666666666
114,0.0019236917064214746,0.0011014546384103597,0.8222370306650798,0.0021744435653090477,0.03703713044524193,0.4583333333333333
