model,n_stocks,mean_delta_rmse,median_delta_rmse,relative_rmse_improvement_pct,rmse_ci_low,rmse_ci_high,rmse_wilcoxon_statistic,rmse_p_value,rmse_holm_p_value,rmse_rank_biserial,rmse_wilcoxon_n,rmse_stock_wins,rmse_stock_losses,rmse_stock_ties,rmse_run_wins,rmse_run_total
Local-MAE/Long-JEPA,5,-0.002126993267975059,-0.0024332962200437117,4.705670156814868,-0.0029387134480377075,-0.0012204405026958788,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
GRU,5,-0.0026233265695790385,-0.002783839329527046,6.605446397599247,-0.0033762994586687112,-0.0016680960402261648,0.0,0.0625,0.125,-1.0,5,5,0,0,15,15
