method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.04746995763726093,0.025238052674448546,0.5177777777777778,0.007505142270059072,2.2,2.7,2,1,1,1,5,5
GRU,0.049179424026629025,0.02973581136477604,0.5,0.03731952456262336,1.4,3.1,3,2,1,0,5,5
Naive-last,0.051537521946956245,0.030510355795937562,0.003333333333333333,0.004564354645876384,3.6,5.0,0,1,0,0,5,5
Drift,0.052534416578090284,0.030428715350573697,0.5416666666666666,0.0694722166688878,3.4,2.2,0,1,3,0,5,5
Mean-context,0.052816529697213344,0.030315896456548055,0.5466666666666666,0.05577733510227168,4.4,2.0,0,0,2,2,5,5
