model,mse,mae,trend_accuracy
naive_last,0.0019319504499435425,0.03454970568418503,0.0
drift,0.001994518689175974,0.034742031305325397,0.5076923076923077
GRU,0.0021920332219451666,0.037540581077337265,0.48846153846153845
TS-JEPA,0.0027083309832960367,0.040580566972494125,0.5384615384615384
mean_context,0.017762182280421257,0.09612681716680527,0.0
previous_patch,0.029695825651288033,0.1118546724319458,0.5346153846153846
