model,mse,mae,trend_accuracy
naive_last,0.0019319504499435425,0.03454970568418503,0.0
previous_patch,0.029695825651288033,0.1118546724319458,0.5346153846153846
mean_context,0.017762182280421257,0.09612681716680527,0.0
drift,0.001994518689175974,0.034742031305325397,0.5076923076923077
