model,mse,mae,trend_accuracy
naive_last,0.0019319504499435425,0.03454970568418503,0.0
drift,0.001994518689175974,0.034742031305325397,0.5076923076923077
TS-JEPA,0.002100124955177307,0.03487575426697731,0.5115384615384615
GRU,0.0021920332219451666,0.037540581077337265,0.48846153846153845
mean_context,0.017762182280421257,0.09612681716680527,0.0
previous_patch,0.029695825651288033,0.1118546724319458,0.5346153846153846
