model,forecast_target,rmse,trend_accuracy
TS-JEPA,relative_return,0.09904350340366364,0.5
GRU,relative_return,0.10100769251585007,0.5833333333333334
mean_context,relative_return,0.1044137179851532,0.5666666666666667
drift,relative_return,0.10552143305540085,0.6
naive_last,relative_return,0.10982126742601395,0.0
