forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,30,2025-01-02T00:00:00,0.01252429187297821,0.0006039142608642578,0.011920377612113953,0.011920377612113953,0.00014209540241538754
relative_return,0,2,31,2025-01-03T00:00:00,-0.016164541244506836,0.0030624866485595703,-0.019227027893066406,0.019227027893066406,0.0003696786016007536
relative_return,0,3,32,2025-01-06T00:00:00,-0.026627957820892334,0.019711852073669434,-0.04633980989456177,0.04633980989456177,0.0021473779810641247
relative_return,0,4,33,2025-01-07T00:00:00,-0.019923485815525055,-0.013802587985992432,-0.006120897829532623,0.006120897829532623,3.746539023957718e-05
relative_return,0,5,34,2025-01-08T00:00:00,-0.045023951679468155,-0.010912716388702393,-0.03411123529076576,0.03411123529076576,0.0011635763730619836
relative_return,1,1,35,2025-01-10T00:00:00,0.07058072090148926,-0.0218045711517334,0.09238529205322266,0.09238529205322266,0.008535042187759245
relative_return,1,2,36,2025-01-13T00:00:00,0.07058507204055786,-0.017530858516693115,0.08811593055725098,0.08811593055725098,0.007764417217970276
relative_return,1,3,37,2025-01-14T00:00:00,0.09716405719518661,-0.020103812217712402,0.11726786941289902,0.11726786941289902,0.013751753196640737
relative_return,1,4,38,2025-01-15T00:00:00,0.08337879925966263,-0.0057128071784973145,0.08909160643815994,0.08909160643815994,0.007937314337731982
relative_return,1,5,39,2025-01-16T00:00:00,0.06331008672714233,0.0004360675811767578,0.06287401914596558,0.06287401914596558,0.003953142283567246
relative_return,2,1,40,2025-01-17T00:00:00,0.040913261473178864,0.035002827644348145,0.005910433828830719,0.005910433828830719,3.493322804498655e-05
relative_return,2,2,41,2025-01-21T00:00:00,0.006113700568675995,0.04751312732696533,-0.04139942675828934,0.04139942675828934,0.0017139125359149632
relative_return,2,3,42,2025-01-22T00:00:00,0.049583904445171356,0.05012857913970947,-0.0005446746945381165,0.0005446746945381165,2.9667052287019047e-07
relative_return,2,4,43,2025-01-23T00:00:00,0.07178529351949692,0.047382354736328125,0.024402938783168793,0.024402938783168793,0.0005955034212550836
relative_return,2,5,44,2025-01-24T00:00:00,0.1001303642988205,0.06664919853210449,0.033481165766716,0.033481165766716,0.0011209884610983156
relative_return,3,1,45,2025-01-27T00:00:00,0.0789475217461586,-0.17396807670593262,0.2529155910015106,0.2529155910015106,0.0639662961716434
relative_return,3,2,46,2025-01-28T00:00:00,0.07705365121364594,-0.15259498357772827,0.2296486347913742,0.2296486347913742,0.05273849546154197
relative_return,3,3,47,2025-01-29T00:00:00,0.09976287931203842,-0.15672248601913452,0.25648537278175354,0.25648537278175354,0.06578474645099508
relative_return,3,4,48,2025-01-30T00:00:00,0.07300008088350296,-0.11867588758468628,0.19167596101760864,0.19167596101760864,0.03673967403202383
relative_return,3,5,49,2025-01-31T00:00:00,0.06530708074569702,-0.0957498550415039,0.16105693578720093,0.16105693578720093,0.025939336565162563
relative_return,4,1,50,2025-02-03T00:00:00,-0.014881415292620659,-0.01599860191345215,0.0011171866208314896,0.0011171866208314896,1.2481059457648824e-06
relative_return,4,2,51,2025-02-04T00:00:00,-0.03288494795560837,0.005242466926574707,-0.038127414882183075,0.038127414882183075,0.0014536997655981154
relative_return,4,3,52,2025-02-05T00:00:00,-0.00805111788213253,0.04849278926849365,-0.05654390901327133,0.05654390901327133,0.003197213646501107
relative_return,4,4,53,2025-02-06T00:00:00,0.005401359871029854,0.04560041427612305,-0.04019905626773834,0.04019905626773834,0.0016159641248167933
relative_return,4,5,54,2025-02-07T00:00:00,-0.0018462911248207092,0.016269683837890625,-0.018115974962711334,0.018115974962711334,0.00032818854884958393
relative_return,5,1,55,2025-02-10T00:00:00,-0.014363265596330166,0.045226097106933594,-0.059589363634586334,0.059589363634586334,0.0035508922583749603
relative_return,5,2,56,2025-02-11T00:00:00,-0.029105672612786293,0.045226097106933594,-0.07433176785707474,0.07433176785707474,0.005525211712758049
relative_return,5,3,57,2025-02-12T00:00:00,-0.012550371699035168,0.05105173587799072,-0.06360210478305817,0.06360210478305817,0.0040452277328351105
relative_return,5,4,58,2025-02-13T00:00:00,0.02378847822546959,0.048605918884277344,-0.024817440658807755,0.024817440658807755,0.0006159053608534443
relative_return,5,5,59,2025-02-14T00:00:00,0.037735290825366974,0.036332130432128906,0.0014031603932380676,0.0014031603932380676,1.9688590891520086e-06
relative_return,6,1,60,2025-02-18T00:00:00,-0.037629008293151855,-0.019352853298187256,-0.0182761549949646,0.0182761549949646,0.0003340178413999695
relative_return,6,2,61,2025-02-19T00:00:00,-0.07579611241817474,-0.01849466562271118,-0.05730144679546356,0.05730144679546356,0.0032834558048533413
relative_return,6,3,62,2025-02-20T00:00:00,-0.03254915401339531,-0.02703392505645752,-0.00551522895693779,0.00551522895693779,3.0417750447445102e-05
relative_return,6,4,63,2025-02-21T00:00:00,-0.00147255789488554,-0.06170612573623657,0.06023356691002846,0.06023356691002846,0.003628082582704875
relative_return,6,5,64,2025-02-24T00:00:00,0.06372180581092834,-0.10774976015090942,0.17147156596183777,0.17147156596183777,0.02940249793340488
relative_return,7,1,65,2025-02-25T00:00:00,-0.011008469387888908,-0.025922179222106934,0.014913709834218025,0.014913709834218025,0.00022241874101925144
relative_return,7,2,66,2025-02-26T00:00:00,-0.02365267649292946,0.024094700813293457,-0.047747377306222916,0.047747377306222916,0.002279812039622811
relative_return,7,3,67,2025-02-27T00:00:00,0.02848239243030548,-0.048718273639678955,0.07720066606998444,0.07720066606998444,0.005959942841649246
relative_return,7,4,68,2025-02-28T00:00:00,0.024190517142415047,-0.040879130363464355,0.06506964564323425,0.06506964564323425,0.004234058784136074
relative_return,7,5,69,2025-03-03T00:00:00,0.04013035073876381,-0.09887939691543579,0.1390097439289093,0.1390097439289093,0.019323708907180936
relative_return,8,1,70,2025-03-04T00:00:00,-0.2672787606716156,0.0005871057510375977,-0.2678658664226532,0.2678658664226532,0.07175212239435869
relative_return,8,2,71,2025-03-05T00:00:00,-0.20497636497020721,0.022468924522399902,-0.22744528949260712,0.22744528949260712,0.05173135971237586
relative_return,8,3,72,2025-03-06T00:00:00,-0.052373744547367096,-0.04226928949356079,-0.010104455053806305,0.010104455053806305,0.00010210001193439178
relative_return,8,4,73,2025-03-07T00:00:00,0.2294936329126358,0.040508151054382324,0.18898548185825348,0.18898548185825348,0.035715512353196255
relative_return,8,5,74,2025-03-10T00:00:00,0.18817734718322754,-0.015584111213684082,0.20376145839691162,0.20376145839691162,0.041518731928036345
relative_return,9,1,75,2025-03-11T00:00:00,0.010189610533416271,0.030577421188354492,-0.020387809723615646,0.020387809723615646,0.0004156627853263567
relative_return,9,2,76,2025-03-12T00:00:00,0.01865498349070549,0.05302250385284424,-0.03436752036213875,0.03436752036213875,0.0011811264558420215
relative_return,9,3,77,2025-03-13T00:00:00,0.06499868631362915,0.037462711334228516,0.027535974979400635,0.027535974979400635,0.0007582299180661778
relative_return,9,4,78,2025-03-14T00:00:00,0.050317589193582535,0.06012463569641113,-0.009807046502828598,0.009807046502828598,9.617816110864263e-05
relative_return,9,5,79,2025-03-17T00:00:00,0.04460207372903824,0.05448627471923828,-0.009884200990200043,0.009884200990200043,9.76974292146715e-05
