stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Local-MAE/Long-JEPA,3,0.0008024591094702681,-3.6113877278641646
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Local-MAE/Long-JEPA,3,-0.006213452124242745,8.633811871683296
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Local-MAE/Long-JEPA,3,-0.0008927657015121762,1.5499933881722727
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Local-MAE/Long-JEPA,3,-0.009793056283048681,11.174775817067994
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Local-MAE/Long-JEPA,3,4.8974074639667374e-05,-0.2680945434147368
