stock,method,mse_mean,mse_std,mae_mean,mae_std,direction_accuracy_mean,direction_accuracy_std,n_valid_seeds,n_direction_seeds
AAPL,Shared-target JEPA--MAE,0.12945217984136706,0.0495899289025171,0.27102633978191176,0.045563465754836566,0.5605263157894737,0.03704128489541907,5,5
AAPL,Local-MAE/Long-JEPA,0.05305289292859785,0.016726629789972015,0.17773708594472787,0.02966236203162348,0.5184210526315789,0.025224065148264176,5,5
AAPL,GRU,0.06950791606397769,0.008686129780625954,0.20479089197359585,0.01243090986300238,0.5157894736842105,0.05476751417965109,5,5
AAPL,Naive-last,0.015385018678011949,0.0,0.07890129026613736,0.0,0.0,0.0,5,5
AAPL,Drift,0.016432615285101353,0.0,0.08249175611295197,0.0,0.5,0.0,5,5
AAPL,Mean-context,0.11103246924423953,0.0,0.2851187825202942,0.0,0.0,0.0,5,5
AMZN,Shared-target JEPA--MAE,0.05595165923792587,0.02549851519364842,0.18742749565526057,0.05832694016048256,0.4828947368421052,0.018953763540642005,5,5
AMZN,Local-MAE/Long-JEPA,0.02917657462655946,0.0021308274095562566,0.13422280349229512,0.005221143717970753,0.5105263157894737,0.028902477153274736,5,5
AMZN,GRU,0.06847301346553578,0.01405509084487779,0.22118271752407676,0.027861188479528575,0.5026315789473684,0.0368068440281562,5,5
AMZN,Naive-last,0.020188341984768807,0.0,0.10401587360783629,0.0,0.0,0.0,5,5
AMZN,Drift,0.022601255306935138,0.0,0.10863841709337736,0.0,0.5328947368421053,0.0,5,5
AMZN,Mean-context,0.10435520882561236,0.0,0.2599051324944747,0.0,0.0,0.0,5,5
GOOGL,Shared-target JEPA--MAE,1.0422061480711555,0.2188703728668301,0.6739928455101817,0.07145041182145279,0.5447368421052632,0.029200448712068568,5,5
GOOGL,Local-MAE/Long-JEPA,0.6717111530557395,0.16985975473667003,0.5412230505441364,0.07277105315724948,0.5289473684210526,0.04476585746369475,5,5
GOOGL,GRU,1.6536969433012039,0.348058625366156,0.8553052425384522,0.0933277105986635,0.5078947368421053,0.029568690860847693,5,5
GOOGL,Naive-last,0.03298857043465906,0.0,0.13846544152811954,0.0,0.0,0.0,5,5
GOOGL,Drift,0.03433114988559532,0.0,0.14488105773925783,0.0,0.5855263157894737,0.0,5,5
GOOGL,Mean-context,0.6216601104620868,0.0,0.6834078311920166,0.0,0.0,0.0,5,5
MSFT,Shared-target JEPA--MAE,0.07629257172447235,0.017197267816904623,0.2420217221661618,0.03032233320502581,0.49736842105263157,0.06058349701695441,5,5
MSFT,Local-MAE/Long-JEPA,0.027673532546103073,0.005590447508129239,0.13834720071993378,0.01782554023948246,0.5013157894736843,0.044958814640183954,5,5
MSFT,GRU,0.07764039443922768,0.009988191803870929,0.2541238998111926,0.017418412316624263,0.48026315789473684,0.044377426194842244,5,5
MSFT,Naive-last,0.011762966480062843,0.0,0.07563770444769607,0.0,0.0,0.0,5,5
MSFT,Drift,0.012697362313976831,0.0,0.07857891760374372,0.0,0.5921052631578947,0.0,5,5
MSFT,Mean-context,0.10829977528826955,0.0,0.2640000117452521,0.0,0.0,0.0,5,5
NVDA,Shared-target JEPA--MAE,1.8091399665526844,0.18773821130075363,1.140903747458207,0.056199262848269704,0.48157894736842105,0.023902502795506483,5,5
NVDA,Local-MAE/Long-JEPA,1.626993503752639,0.3527911760513464,1.084200009044848,0.10817408310681748,0.4828947368421053,0.022115442518383686,5,5
NVDA,GRU,2.9500410730749294,0.1726273248796312,1.5125773994546188,0.04790674161937363,0.4947368421052632,0.02479137326502209,5,5
NVDA,Naive-last,0.08834520349848007,0.0,0.23551427439639444,0.0,0.0,0.0,5,5
NVDA,Drift,0.09274017945874616,0.0,0.23736720587077892,0.0,0.5460526315789473,0.0,5,5
NVDA,Mean-context,0.7829378490425761,0.0,0.723732728707163,0.0,0.0,0.0,5,5
