method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.002472357727767275,0.0014557647006654048,0.0351135140059785,0.012262609722561631,0.5326315789473683,0.018637822325921847,4.8,5.0,1.3,0,0,0,0,4,1,5,5
GRU,0.0020548511114389947,0.0010987142371574887,0.030662976628780557,0.009948510600603016,0.524,0.019257692638573628,2.2,2.0,2.5,2,2,2,2,2,1,5,5
Naive-last,0.00203290785243998,0.0010983052907040899,0.03026911603777028,0.009767367881007842,0.0010526315789473684,0.0023537557657892522,1.4,1.4,5.0,3,2,3,2,0,0,5,5
Drift,0.0023013282453696444,0.0013655154857292035,0.03127674954966523,0.01029772742474229,0.5042105263157894,0.03459300363190523,3.8,2.8,3.3,0,0,0,1,0,2,5,5
Mean-context,0.0022635396983492766,0.0013266471415729984,0.03159139503391514,0.010545438149198708,0.508421052631579,0.03320381114860528,2.8,3.8,2.9,0,1,0,0,0,2,5,5
