model,n_stocks,mean_delta_mse,median_delta_mse,relative_mse_improvement_pct,mse_ci_low,mse_ci_high,mse_wilcoxon_statistic,mse_p_value,mse_holm_p_value,mse_rank_biserial,mse_wilcoxon_n,mse_stock_wins,mse_stock_losses,mse_stock_ties,mse_run_wins,mse_run_total,mean_delta_mae,median_delta_mae,relative_mae_improvement_pct,mae_ci_low,mae_ci_high,mae_wilcoxon_statistic,mae_p_value,mae_holm_p_value,mae_rank_biserial,mae_wilcoxon_n,mae_stock_wins,mae_stock_losses,mae_stock_ties,mae_run_wins,mae_run_total
Shared-target JEPA--MAE,5,0.0004394498753272951,0.00021664459064101613,-19.100921740745097,0.00016643376330221878,0.0007649985191961236,0.0,0.0625,0.125,1.0,5,0,5,0,1,25,0.004844397968208222,0.003418995381492236,-15.37493433884238,0.002556104851604783,0.007231984068149407,0.0,0.0625,0.125,1.0,5,0,5,0,1,25
GRU,5,2.1943258999014807e-05,3.722721553600654e-05,-0.8972693817486219,-9.335152792951967e-05,0.00014320917554821625,6.0,0.8125,0.8125,0.2,5,2,3,0,11,25,0.0003938605910102786,0.000375364735151186,-1.2046939152243836,-0.00013236290557266744,0.0009619503035945337,3.0,0.3125,0.3125,0.6,5,2,3,0,11,25
