date,sentiment_mean,sentiment_sum,sentiment_max,sentiment_min,sentiment_std,news_count
2015-01-02,-0.5111487489193678,-0.5111487489193678,-0.5111487489193678,-0.5111487489193678,0.0,1
2015-01-05,-0.042197879403829575,-0.042197879403829575,-0.042197879403829575,-0.042197879403829575,0.0,1
2015-01-06,-0.54472865909338,-0.54472865909338,-0.54472865909338,-0.54472865909338,0.0,1
2015-01-07,-0.1448242859914899,-0.2896485719829798,-0.0722452700138092,-0.21740330196917057,0.10264222873932959,2
2015-01-08,-0.3940973678836599,-3.152778943069279,0.08726319670677185,-0.946584272198379,0.39192407761658377,8
2015-01-09,0.14813691843301058,0.44441075529903173,0.4600846329703927,-0.009838106110692024,0.27016205715141534,3
2015-01-12,-0.17909529404714702,-1.7909529404714704,0.8815415725111961,-0.9382923729717731,0.6666153616240301,10
2015-01-13,-0.6329160301635662,-1.8987480904906988,-0.032121844589710236,-0.9515875084325671,0.5206238500388377,3
2015-01-14,0.09897931192070246,2.4744827980175614,0.7008129712194204,-0.20160609483718872,0.1736009127148183,25
2015-01-15,-0.07848210456884569,-0.7063389411196113,0.8993208780884743,-0.8324671871960163,0.5109597985463686,9
2015-01-16,-0.4459196776151657,-0.8918393552303314,0.027581149712204933,-0.9194205049425364,0.6696312918012486,2
2015-01-17,0.02622232912108302,0.05244465824216604,0.08277552854269743,-0.030330870300531387,0.07997830161763737,2
2015-01-18,0.15992677211761475,0.15992677211761475,0.15992677211761475,0.15992677211761475,0.0,1
2015-01-19,0.0679835807532072,0.0679835807532072,0.0679835807532072,0.0679835807532072,0.0,1
2015-01-20,-0.2697730030864477,-1.3488650154322386,0.25863746739923954,-0.9394773282110691,0.5778089681511966,5
2015-01-21,-0.09573358359436195,-0.5744015015661716,0.7761896327137947,-0.8633962348103523,0.6024954955477996,6
2015-01-22,0.0580622371700075,0.5225601345300674,0.8947964366525412,-0.9568526828661561,0.6583158131704324,9
2015-01-23,-0.32651738822460175,-0.9795521646738052,0.11670753173530102,-0.8498224597424269,0.4882158120254188,3
2015-01-24,-0.048394921235740185,-0.09678984247148037,0.007148802280426025,-0.1039386447519064,0.07855068710126367,2
2015-01-26,0.1219690702855587,0.4878762811422348,0.21151220612227917,-0.012131940573453903,0.10322260397765848,4
2015-01-27,0.12858272367157042,0.5143308946862817,0.7090333877131343,-0.12132900767028332,0.3908065650706894,4
2015-01-28,-0.4715471104718745,-0.943094220943749,-0.061142224818468094,-0.8819519961252809,0.5804001553552266,2
2015-01-29,-0.021699371056691293,-0.6726805027574301,0.934399620629847,-0.962647145614028,0.5668250473422289,31
2015-01-30,0.04274471503283296,0.29921300522983074,0.9332121070474386,-0.8093361649662256,0.5089918482428759,7
2015-01-31,0.021236196160316467,0.021236196160316467,0.021236196160316467,0.021236196160316467,0.0,1
2015-02-01,-0.348819337785244,-0.348819337785244,-0.348819337785244,-0.348819337785244,0.0,1
2015-02-02,-0.37978003670771915,-1.1393401101231575,-0.10115918517112732,-0.8460330441594124,0.4063417722817045,3
2015-02-03,0.0825834795832634,0.0825834795832634,0.0825834795832634,0.0825834795832634,0.0,1
2015-02-04,0.3325963305930297,0.997788991779089,0.8921533711254597,0.0013976097106933594,0.4873110897963033,3
2015-02-05,0.12631030923084302,2.147275256924331,0.8092572502791882,-0.9358654972165823,0.4361928553333877,17
2015-02-07,0.004094671458005905,0.004094671458005905,0.004094671458005905,0.004094671458005905,0.0,1
2015-02-08,0.02156680077314377,0.02156680077314377,0.02156680077314377,0.02156680077314377,0.0,1
2015-02-09,0.04214515443891287,0.08429030887782574,0.11257648095488548,-0.028286172077059746,0.09960493717481626,2
2015-02-10,0.020151278004050255,0.060453834012150764,0.07427432760596275,-0.047835903242230415,0.0622244946073412,3
2015-02-11,0.2813730165362358,1.406865082681179,0.8970798831433058,0.05676247365772724,0.3501935870825705,5
2015-02-12,0.05809548310935497,0.2323819324374199,0.1361482236534357,-0.008980344980955124,0.05975671724085582,4
2015-02-13,0.13230783073231578,0.5292313229292631,0.311809909529984,-0.049413539469242096,0.14752337700496565,4
2015-02-17,-0.11883523361757398,-0.7130114017054439,0.9167009061202407,-0.9343844074755907,0.6944920395995919,6
2015-02-18,-0.04342906158417463,-0.21714530792087317,0.10103426408022642,-0.46237917616963387,0.23750204312019968,5
2015-02-19,-0.11481353305280209,-0.5740676652640104,0.026205072179436684,-0.4837043322622776,0.21331545328282886,5
2015-02-20,-0.8735385797917843,-0.8735385797917843,-0.8735385797917843,-0.8735385797917843,0.0,1
2015-02-21,0.1292619602754712,0.1292619602754712,0.1292619602754712,0.1292619602754712,0.0,1
2015-02-23,0.16532384852568308,0.9919430911540985,0.9155109524726868,-0.9388842284679413,0.6738073939959273,6
2015-02-24,0.08652710188180208,0.4326355094090104,0.15486262738704681,0.02520144172012806,0.04970085226373341,5
