model,mse,mae,trend_accuracy
naive_last,0.003969406243413687,0.043561361730098724,0.0
previous_patch,0.07288908213376999,0.17732377350330353,0.48360655737704916
mean_context,0.02788686193525791,0.13786786794662476,0.0
drift,0.004182096325004314,0.043771367740072356,0.5163934426229508
