model,mse,mae,trend_accuracy
naive_last,0.003969406243413687,0.043561361730098724,0.0
drift,0.004182096325004314,0.043771367740072356,0.5163934426229508
GRU,0.00428802240639925,0.047573819756507874,0.5614754098360656
TS-JEPA,0.005162157118320465,0.05267757922410965,0.47540983606557374
mean_context,0.02788686193525791,0.13786786794662476,0.0
previous_patch,0.07288908213376999,0.17732377350330353,0.48360655737704916
