stock,model,rmse,rmse_std,trend_accuracy,trend_accuracy_std,num_runs,source_files
NVDA,GRU,0.05746667335430781,0.0008800387617187214,0.4706666666666666,0.01803699901129158,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_42/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_44/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_46/last_model_comparison_20260902_095646.csv
NVDA,TS-JEPA,0.05667514974872271,0.002993289700719062,0.4226666666666667,0.04601449047129975,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_42/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_44/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_46/last_model_comparison_20260902_095646.csv
NVDA,drift,0.05519310012459755,0.0,0.496,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_42/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_44/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_46/last_model_comparison_20260902_095646.csv
NVDA,mean_context,0.05493675544857979,0.0,0.5,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_42/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_44/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_46/last_model_comparison_20260902_095646.csv
NVDA,naive_last,0.052557241171598434,0.0,0.0,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_42/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_44/last_model_comparison_20260902_095549.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/NVDA/seed_46/last_model_comparison_20260902_095646.csv
TSLA,GRU,0.06335411220788956,0.00023669225684086172,0.536,0.01200000000000001,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_42/last_model_comparison_20260902_095934.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_44/last_model_comparison_20260902_100031.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_46/last_model_comparison_20260902_100031.csv
TSLA,TS-JEPA,0.07901655385891597,0.007568635574392731,0.49866666666666665,0.04163331998932267,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_42/last_model_comparison_20260902_095934.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_44/last_model_comparison_20260902_100031.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_46/last_model_comparison_20260902_100031.csv
TSLA,drift,0.06710299849510193,0.0,0.516,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_42/last_model_comparison_20260902_095934.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_44/last_model_comparison_20260902_100031.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_46/last_model_comparison_20260902_100031.csv
TSLA,mean_context,0.06584280729293823,0.0,0.524,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_42/last_model_comparison_20260902_095934.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_44/last_model_comparison_20260902_100031.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_46/last_model_comparison_20260902_100031.csv
TSLA,naive_last,0.06089822202920914,0.0,0.0,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_42/last_model_comparison_20260902_095934.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_44/last_model_comparison_20260902_100031.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/TSLA/seed_46/last_model_comparison_20260902_100031.csv
WMT,GRU,0.02865097112953663,0.000155806917910595,0.48266666666666663,0.01665332799572905,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_42/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_44/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_46/last_model_comparison_20260902_100217.csv
WMT,TS-JEPA,0.02997294378777345,0.0010539539469628715,0.5,0.021166010488516743,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_42/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_44/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_46/last_model_comparison_20260902_100217.csv
WMT,drift,0.03128292039036751,0.0,0.472,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_42/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_44/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_46/last_model_comparison_20260902_100217.csv
WMT,mean_context,0.03132099658250809,0.0,0.468,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_42/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_44/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_46/last_model_comparison_20260902_100217.csv
WMT,naive_last,0.028900789096951485,0.0,0.004,0.0,3,/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_42/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_44/last_model_comparison_20260902_100127.csv;/home/xujiang/TS_JEPA/selection_artifacts/chapter5_automated/final/results/selected_config/random/WMT/seed_46/last_model_comparison_20260902_100217.csv
