method,rmse,rmse_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,rmse_average_rank,direction_accuracy_average_rank,rmse_stock_wins,rmse_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Local-MAE/Long-JEPA,0.0493527926936216,0.028538377622007404,0.5133333333333334,0.03471666622215111,2.6,2.8,2,1,1,0,5,5
GRU,0.04898454553574784,0.029110900578112654,0.5094444444444444,0.026686913609945438,1.4,3.4,3,2,0,1,5,5
Naive-last,0.051537521946956245,0.030510355795937562,0.003333333333333333,0.004564354645876384,4.4,5.0,0,0,0,0,5,5
Drift,0.05113457331302189,0.030452523093334728,0.5599999999999999,0.04944132324730442,3.2,1.8,0,2,4,0,5,5
Mean-context,0.05123115301368838,0.030249661015053445,0.5583333333333333,0.0517069735249619,3.4,2.0,0,0,3,1,5,5
