model,n_stocks,mean_delta_mse,median_delta_mse,relative_mse_improvement_pct,mse_ci_low,mse_ci_high,mse_wilcoxon_statistic,mse_p_value,mse_holm_p_value,mse_rank_biserial,mse_wilcoxon_n,mse_stock_wins,mse_stock_losses,mse_stock_ties,mse_run_wins,mse_run_total,mean_delta_mae,median_delta_mae,relative_mae_improvement_pct,mae_ci_low,mae_ci_high,mae_wilcoxon_statistic,mae_p_value,mae_holm_p_value,mae_rank_biserial,mae_wilcoxon_n,mae_stock_wins,mae_stock_losses,mae_stock_ties,mae_run_wins,mae_run_total
Shared-target JEPA--MAE,3,0.0013488609820105533,0.0010271697573015126,-64.0319755622736,0.00018813910154992993,0.0028312740871802174,0.0,0.25,0.75,1.0,3,0,3,0,0,9,0.010148091667211935,0.008318125028489977,-32.066170274732876,0.004145330530101133,0.017980819443044697,0.0,0.25,0.75,1.0,3,0,3,0,0,9
Local-MAE/Long-JEPA,3,0.001651346077993568,0.0014969345804969954,-81.35203600469909,0.00025265371042762177,0.0032044499430560866,0.0,0.25,0.75,1.0,3,0,3,0,0,9,0.012045885518272214,0.011709129632238234,-38.83092296452116,0.005343988241439904,0.0190845386811385,0.0,0.25,0.75,1.0,3,0,3,0,0,9
GRU,3,0.0008393335351451853,0.0005918148508941212,-47.270487197921874,0.0001274045476143666,0.0017987812069270679,0.0,0.25,0.75,1.0,3,0,3,0,0,9,0.007853144283640628,0.007163807818371996,-25.956399732039234,0.0035892316319963338,0.012806393400553553,0.0,0.25,0.75,1.0,3,0,3,0,0,9
