stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Local-MAE/Long-JEPA,3,0.0006135395941279977,-2.7611741640708565
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Local-MAE/Long-JEPA,3,-0.007654947108805372,10.636820225466263
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Local-MAE/Long-JEPA,3,-0.0003554878951442635,0.6171875623308448
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Local-MAE/Long-JEPA,3,-0.010461486711266852,11.93751626997178
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Local-MAE/Long-JEPA,3,-0.0020878204418963466,11.42917497105274
