stock,method,relative_mse_improvement_pct,relative_mae_improvement_pct,n_paired_seeds
AVGO,Drift,-6.4861169655008695,-1.9249561645442597,3
AVGO,GRU,-19.655832536458913,-17.97864203747169,3
AVGO,Local-MAE/Long-JEPA,-130.54532072770732,-56.828394904975795,3
AVGO,Mean-context,-1021.7346058312777,-295.5842916917067,3
AVGO,Shared-target JEPA--MAE,-97.0070367534661,-44.926893692134485,3
COST,Drift,-10.669221922419503,-2.705760895156678,3
COST,GRU,-31.25426171326824,-24.084206511939836,3
COST,Local-MAE/Long-JEPA,-102.86798995231936,-52.128293233823484,3
COST,Mean-context,-197.28605996847423,-91.76256004826955,3
COST,Shared-target JEPA--MAE,-108.16832926038637,-47.211584314197125,3
NVDA,Drift,-2.2299570101622046,0.4215981279846898,3
NVDA,GRU,-90.90136734403848,-35.80635064670618,3
NVDA,Local-MAE/Long-JEPA,-52.37923276910333,-20.266116397736422,3
NVDA,Mean-context,-1229.9928225846252,-250.1660066680826,3
NVDA,Shared-target JEPA--MAE,-54.20130410402817,-24.360860184819966,3
AVGO,Naive-last,0.0,0.0,3
COST,Naive-last,0.0,0.0,3
NVDA,Naive-last,0.0,0.0,3
