stock,model,n_paired_seeds,delta_rmse,relative_rmse_improvement_pct
AAPL,GRU,3,-0.0009232353964887287,4.154929443084271
AAPL,Local-MAE/Long-JEPA,3,0.0009804630177203874,-4.412476683276114
AVGO,GRU,3,-0.004392719953068308,6.103840010580819
AVGO,Local-MAE/Long-JEPA,3,-0.006728953157053431,9.350118821177709
NVDA,GRU,3,-0.00249626974923235,4.333949657621147
NVDA,Local-MAE/Long-JEPA,3,-0.0011707698635232248,2.032655986289145
TSLA,GRU,3,-0.0021791649838766164,2.4866272039483106
TSLA,Local-MAE/Long-JEPA,3,-0.012286482094557483,14.020003461509502
WMT,GRU,3,-0.001799099518970142,9.84865498010457
WMT,Local-MAE/Long-JEPA,3,-0.0008368867714390963,4.581296911265573
