method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.0020039560316140563,0.0013168551322727804,0.03115695875062217,0.010580838627384438,0.5156315789473684,0.027993370802107155,5.0,5.2,3.5,0,0,0,0,1,2,10,10
Local-MAE/Long-JEPA,0.0020116316292069676,0.0013616528504927232,0.03139518665787637,0.01096541684415957,0.5284210526315789,0.026026479874600248,5.5,5.4,1.9,0,0,0,0,6,1,10,10
GRU,0.0019356176328505226,0.0014772402057132274,0.029513435722831872,0.011458974415276258,0.5056842105263157,0.019036179126282575,3.3,3.7,3.8,1,4,1,2,0,1,10,10
Naive-last,0.001534448669108494,0.0009444506995886171,0.026278515207140023,0.008445266071844008,0.0010526315789473684,0.0022191422176620207,1.1,1.1,6.0,9,1,9,1,0,0,10,10
Drift,0.0017219477495735414,0.001142619831585388,0.027187390429455793,0.008842151168406831,0.5178947368421053,0.033397906061167146,3.5,2.4,3.2,0,0,0,6,3,1,10,10
Mean-context,0.001696871591607511,0.0011123783743090458,0.027398993599334398,0.009033264052045725,0.521578947368421,0.03181684271664185,2.6,3.2,2.6,0,5,0,1,3,3,10,10
