metric,n_stocks,mean_delta,median_delta,t_statistic,p_value,cohens_dz,status
MSE,10,-7.67559759291159e-06,-2.0918934929671854e-05,-0.14002677527792562,0.8917224890159794,-0.0442803543286802,ok
MAE,10,-0.0002382279072542022,-0.00017227762105329059,-0.6233290250372133,0.5485371501195604,-0.1971139450809716,ok
