Date,Open,High,Low,Close,Volume,sentiment_mean,sentiment_sum,sentiment_max,sentiment_min,sentiment_std,news_count
2015-01-02,141.8699951171875,143.14999389648438,140.80999755859375,141.61000061035156,1471000,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,141.69000244140625,142.16000366210938,139.8000030517578,140.0,1748500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,140.61000061035156,142.94000244140625,139.85000610351562,141.85000610351562,3185200,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,142.60000610351562,144.42999267578125,142.36000061035156,144.32000732421875,2171600,0.04150792211294174,0.04150792211294174,0.04150792211294174,0.04150792211294174,0.0,1.0
2015-01-08,145.55999755859375,146.10000610351562,144.94000244140625,145.55999755859375,2937700,0.20987791614606977,1.6790233291685581,0.9336452763527632,-0.7426565065979958,0.5837761314594209,8.0
2015-01-09,144.47999572753906,145.0500030517578,143.22000122070312,143.32000732421875,1727000,0.714773453772068,0.714773453772068,0.714773453772068,0.714773453772068,0.0,1.0
2015-01-12,143.5800018310547,144.16000366210938,142.1199951171875,142.52000427246094,1344800,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,142.1999969482422,144.41000366210938,140.38999938964844,141.08999633789062,2198500,-0.657646003489693,-1.972938010469079,-0.595140965655446,-0.7712699100375175,0.09856574108787848,3.0
2015-01-14,140.00999450683594,140.2100067138672,138.24000549316406,139.30999755859375,2207900,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,139.9499969482422,140.1699981689453,138.6199951171875,139.30999755859375,1819600,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,139.0399932861328,139.9600067138672,138.22000122070312,139.72000122070312,1784800,0.5483211930841208,1.0966423861682415,0.628417607396841,0.46822477877140045,0.11327343541850353,2.0
2015-01-20,140.72000122070312,141.27000427246094,138.36000061035156,139.3800048828125,1836100,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,138.85000610351562,139.6999969482422,138.3800048828125,139.13999938964844,1682000,-0.01831234246492386,-0.01831234246492386,-0.01831234246492386,-0.01831234246492386,0.0,1.0
2015-01-22,139.5,141.27999877929688,138.38999938964844,141.27000427246094,1897500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-23,141.58999633789062,142.30999755859375,140.8699951171875,142.0500030517578,1696800,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,141.66000366210938,143.0500030517578,141.57000732421875,142.91000366210938,1482800,0.7067443951964378,0.7067443951964378,0.7067443951964378,0.7067443951964378,0.0,1.0
2015-01-27,142.75,142.8000030517578,140.8699951171875,140.99000549316406,1786500,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-28,141.60000610351562,142.4499969482422,139.55999755859375,139.6199951171875,2016300,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-29,140.16000366210938,140.69000244140625,138.91000366210938,140.63999938964844,1873400,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-30,143.08999633789062,143.8000030517578,141.33999633789062,142.99000549316406,5169000,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,144.0,146.22999572753906,140.1300048828125,146.0,4797500,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,146.36000061035156,153.88999938964844,144.77000427246094,153.75,10302900,0.45089821331202984,0.9017964266240597,0.9056029990315437,-0.0038065724074840546,0.6430496748404886,2.0
