method,mse,mse_std_across_stocks,mae,mae_std_across_stocks,direction_accuracy,direction_accuracy_std_across_stocks,mse_average_rank,mae_average_rank,direction_accuracy_average_rank,mse_stock_wins,mse_stock_second_places,mae_stock_wins,mae_stock_second_places,direction_accuracy_stock_wins,direction_accuracy_stock_second_places,n_stocks,n_direction_stocks
Shared-target JEPA--MAE,0.0024056893359427393,0.0016850257820024501,0.035033468369884704,0.01246804547474933,0.515,0.027915210956933202,4.2,4.0,2.3,0,0,0,0,2,4,10,10
Local-MAE/Long-JEPA,0.002666032309658205,0.0017327917185528834,0.03682441004960626,0.012446713190394757,0.5128289473684211,0.024902182441831622,4.6,4.8,2.35,0,0,0,0,1,5,10,10
GRU,0.0018230137214430369,0.0011523110651067787,0.03075166511243687,0.010826410895673972,0.49302631578947365,0.01880397739895244,2.8,3.0,3.55,1,2,0,2,0,1,10,10
Naive-last,0.0015161245293664216,0.0009663522123077612,0.02725285106583645,0.009616999753699096,0.0013157894736842105,0.0027739277720775254,1.1,1.1,5.5,9,1,9,1,0,0,10,10
Drift,0.001664632019880994,0.0011335761292134362,0.028201916654606494,0.010058135322520444,0.5328947368421053,0.048642703975479894,2.3,2.1,1.8,0,7,1,7,7,0,10,10
Mean-context,0.015068260330213048,0.011679160189127707,0.09233360558274924,0.043761971033484184,0.0013157894736842105,0.0027739277720775254,6.0,6.0,5.5,0,0,0,0,0,0,10,10
