stock,model,n_paired_seeds,delta_mse,relative_mse_improvement_pct,delta_mae,relative_mae_improvement_pct
AAPL,GRU,10,0.0001919081019767554,-17.915264714510172,0.0035205549687931355,-16.65968273476198
AAPL,Local-MAE/Long-JEPA,10,0.0002896311881450353,-27.038042436712214,0.0053754352649526705,-25.437195802700938
AAPL,Shared-target JEPA--MAE,10,0.0002378502320533775,-22.204116583676374,0.0040984527810819784,-19.39436357093297
AMZN,GRU,10,0.00018670078457428557,-17.62492087259586,0.0029146242997069847,-12.116093880145822
AMZN,Local-MAE/Long-JEPA,10,0.0004931985457938202,-46.55891170418073,0.006278987385785979,-26.101751998047412
AMZN,Shared-target JEPA--MAE,10,0.0004370056568531404,-41.25419258668829,0.005613495004240808,-23.335300015836964
AVGO,GRU,10,0.000612103163499234,-20.32966435127556,0.0069763452000916005,-17.508176693492608
AVGO,Local-MAE/Long-JEPA,10,0.0023410394286413677,-77.75249117372103,0.01325006743574417,-33.25301647382005
AVGO,Shared-target JEPA--MAE,10,0.0026202433572186856,-87.02563742097367,0.016086007082148603,-40.37022913994182
COST,GRU,10,0.00015637853306561415,-38.362018391708844,0.0037530075081648544,-25.1831637339129
COST,Local-MAE/Long-JEPA,10,0.0003925695712087212,-96.30325093544239,0.006040108166757574,-40.529903711378054
COST,Shared-target JEPA--MAE,10,0.00016643322752096773,-40.828586954910826,0.003407821464107221,-22.86692092138101
GOOGL,GRU,10,9.283463654594624e-05,-6.086215103656628,0.001611436668440313,-5.398189415767681
GOOGL,Local-MAE/Long-JEPA,10,0.0029463420205751503,-193.16143169567565,0.016902135781649702,-56.62086029647101
GOOGL,Shared-target JEPA--MAE,10,0.0010865170715372463,-71.23178220122534,0.008758070798848125,-29.338866376080052
META,GRU,10,0.0006008226612702532,-45.11225277805843,0.006730966773741918,-26.851032638719467
META,Local-MAE/Long-JEPA,10,0.0007230557182567011,-54.290016734147194,0.008765081326219878,-34.96548009856279
META,Shared-target JEPA--MAE,10,0.0005474433942068821,-41.10431641996703,0.007170125073018031,-28.60291379098253
MSFT,GRU,10,-6.6690635973180806e-06,0.8743195653868542,0.0007098160609664107,-3.724549691449686
MSFT,Local-MAE/Long-JEPA,10,0.0010298324742386601,-135.0118600847809,0.012755337981017004,-66.92986078231536
MSFT,Shared-target JEPA--MAE,10,0.0010747674533109742,-140.90287173879665,0.011781078858337797,-61.81772439330994
NVDA,GRU,10,0.000861034437960885,-43.512355721494686,0.00666798665678423,-18.643521315693302
NVDA,Local-MAE/Long-JEPA,10,0.0012849649219370666,-64.9356730787442,0.009921464108077715,-27.740161626393967
NVDA,Shared-target JEPA--MAE,10,0.0006865722241376845,-34.69591171745193,0.005212112007858726,-14.572932778656517
TSLA,GRU,10,0.00032485572967208835,-9.906913934376643,0.0019853969685439178,-4.572907381181389
TSLA,Local-MAE/Long-JEPA,10,0.0017761588991024994,-54.16636291115263,0.012059755012098893,-27.776884715660525
TSLA,Shared-target JEPA--MAE,10,0.0017825110092934116,-54.360079084872474,0.010821740976902408,-24.925402815943432
WMT,GRU,10,4.892293579840809e-05,-6.661845605551844,0.00011800536077077421,-0.6072660799365159
WMT,Local-MAE/Long-JEPA,10,0.00022228503501881295,-30.268596100240615,0.004367217375394442,-22.47408896056902
WMT,Shared-target JEPA--MAE,10,0.00025630443963080735,-34.901024989049844,0.004857268993938825,-24.99593816653912
