model,forecast_target,rmse,trend_accuracy
TS-JEPA,relative_return,0.07677723467350006,0.5833333333333334
GRU,relative_return,0.07872212678194046,0.5
mean_context,relative_return,0.08162663131952286,0.5
drift,relative_return,0.081946462392807,0.45
naive_last,relative_return,0.08331296592950821,0.0
