stock,model,n_paired_seeds,delta_mse,relative_mse_improvement_pct,delta_mae,relative_mae_improvement_pct
AAPL,GRU,10,3.046285959869481e-05,-2.5818702654500587,0.0005467749208726599,-2.57373821310632
AAPL,Local-MAE/Long-JEPA,10,0.0002449838680317855,-20.763532141063628,0.0038458006996293773,-18.10266682464089
AAPL,Shared-target JEPA--MAE,10,0.00018854872878768618,-15.980389328459234,0.0030757558494990097,-14.477969017683819
AMZN,GRU,10,0.00022629214184953844,-18.61272296370537,0.0030692644940235807,-12.38271863827083
AMZN,Local-MAE/Long-JEPA,10,0.0002560657257635562,-21.061625804515074,0.0038153603945638207,-15.392786891282757
AMZN,Shared-target JEPA--MAE,10,0.0002526042220778605,-20.776914154286686,0.00383221600897071,-15.460789610201932
AVGO,GRU,10,0.0019381965763136393,-68.33751218936433,0.012516676735096169,-34.71997575278977
AVGO,Local-MAE/Long-JEPA,10,0.0008835600980173249,-31.152825108759323,0.00829426121389445,-23.00742875513013
AVGO,Shared-target JEPA--MAE,10,0.0008311201188482498,-29.30388070370183,0.008055307565909501,-22.344595877069516
COST,GRU,10,2.4209528238787654e-05,-5.830723161067118,0.0010826651101294622,-7.151771455946317
COST,Local-MAE/Long-JEPA,10,5.8591738728563694e-05,-14.111477294484349,0.0017074045678600648,-11.278618972688436
COST,Shared-target JEPA--MAE,10,8.183652156218467e-05,-19.709847172044437,0.0019895321342750976,-13.142271784204047
GOOGL,GRU,10,1.6359668902079854e-06,-0.1354673151291049,0.00020315930869210414,-0.7611073292293034
GOOGL,Local-MAE/Long-JEPA,10,0.0006504766567935256,-53.8631477063527,0.006074159208985395,-22.755969798415293
GOOGL,Shared-target JEPA--MAE,10,0.0010707652753127765,-88.66542339475932,0.008387858144461035,-31.423912354221933
META,GRU,10,0.000335518322459524,-22.172170364656747,0.004274008462303564,-16.506070452803744
META,Local-MAE/Long-JEPA,10,0.0004883908496139226,-32.274497090947065,0.006327920586550857,-24.438206882973898
META,Shared-target JEPA--MAE,10,0.0002771755114935219,-18.316682727473484,0.004465629470160869,-17.246104049795086
MSFT,GRU,10,1.3851591574529262e-05,-1.6727749829185512,0.0013707231026828999,-7.241650584895092
MSFT,Local-MAE/Long-JEPA,10,0.000282129159698269,-34.07107390914648,0.005416051240907489,-28.613474566652023
MSFT,Shared-target JEPA--MAE,10,0.0002527447320570761,-30.52248996620429,0.004973341522088859,-26.27460022511163
NVDA,GRU,10,0.0007658095069586911,-36.83413901570734,0.00510805220129489,-15.090320922129004
NVDA,Local-MAE/Long-JEPA,10,0.0002718471572323791,-13.075387403178885,0.002931993083881316,-8.661758892365222
NVDA,Shared-target JEPA--MAE,10,0.00031739280555055557,-15.266055874212537,0.0028263914897596774,-8.349788324644718
TSLA,GRU,10,0.0007027542308381504,-20.989764349478744,0.004678341906983401,-11.309417246715302
TSLA,Local-MAE/Long-JEPA,10,0.0015542295765565521,-46.42151000358113,0.011270499718191688,-27.245290409782207
TSLA,Shared-target JEPA--MAE,10,0.0013537843810350035,-40.4346411462217,0.009317871893229157,-22.525010609991632
WMT,GRU,10,-2.7041087301481627e-05,3.748959402329974,-0.0005004610851603062,2.657194364888663
WMT,Local-MAE/Long-JEPA,10,8.155477054885762e-05,-11.306702295112633,0.0014832637928989985,-7.875377944465216
WMT,Shared-target JEPA--MAE,10,6.91013283307068e-05,-9.580164868026575,0.0018605313564675264,-9.878477233690587
