model,forecast_target,rmse,trend_accuracy
naive_last,relative_return,0.052557241171598434,0.0
mean_context,relative_return,0.05493675544857979,0.5
drift,relative_return,0.05519310012459755,0.496
TS-JEPA,relative_return,0.05553107708692551,0.468
GRU,relative_return,0.05684027075767517,0.452
