forecast_target,rolling_step,horizon_step,target_index,target_date,predicted_value,true_value,error,absolute_error,squared_error
relative_return,0,1,30,2025-01-02T00:00:00,-0.01389060914516449,0.029935240745544434,-0.04382584989070892,0.04382584989070892,0.0019207051186429513
relative_return,0,2,31,2025-01-03T00:00:00,-0.01574653759598732,0.0758061408996582,-0.09155267477035522,0.09155267477035522,0.008381892257606438
relative_return,0,3,32,2025-01-06T00:00:00,-0.01874065399169922,0.11274111270904541,-0.13148176670074463,0.13148176670074463,0.01728745497474904
relative_return,0,4,33,2025-01-07T00:00:00,-0.0315491147339344,0.04356253147125244,-0.07511164247989655,0.07511164247989655,0.005641758836027799
relative_return,0,5,34,2025-01-08T00:00:00,-0.025734558701515198,0.04333913326263428,-0.06907369196414948,0.06907369196414948,0.004771174921558208
relative_return,1,1,35,2025-01-10T00:00:00,0.008094221353530884,-0.02997642755508423,0.03807064890861511,0.03807064890861511,0.001449374308323037
relative_return,1,2,36,2025-01-13T00:00:00,0.018359903246164322,-0.04910433292388916,0.06746423244476318,0.06746423244476318,0.004551422659361037
relative_return,1,3,37,2025-01-14T00:00:00,0.03062693029642105,-0.05959606170654297,0.09022299200296402,0.09022299200296402,0.00814018828596691
relative_return,1,4,38,2025-01-15T00:00:00,0.029490314424037933,-0.027621090412139893,0.057111404836177826,0.057111404836177826,0.003261712562361796
relative_return,1,5,39,2025-01-16T00:00:00,0.03058505803346634,-0.046677589416503906,0.07726264744997025,0.07726264744997025,0.005969516690978394
relative_return,2,1,40,2025-01-17T00:00:00,-0.006926681846380234,0.03099501132965088,-0.03792169317603111,0.03792169317603111,0.0014380548133370447
relative_return,2,2,41,2025-01-21T00:00:00,-0.0014079557731747627,0.05435347557067871,-0.0557614304125309,0.0557614304125309,0.003109337121651526
relative_return,2,3,42,2025-01-22T00:00:00,-0.005686163902282715,0.10107064247131348,-0.10675680637359619,0.10675680637359619,0.011397015707089508
relative_return,2,4,43,2025-01-23T00:00:00,-0.004243176430463791,0.10219359397888184,-0.10643677413463593,0.10643677413463593,0.011328786888187503
relative_return,2,5,44,2025-01-24T00:00:00,-0.009670272469520569,0.06775462627410889,-0.07742489874362946,0.07742489874362946,0.005994614945461274
relative_return,3,1,45,2025-01-27T00:00:00,0.0037617310881614685,-0.16968166828155518,0.17344340682029724,0.17344340682029724,0.03008261536943113
relative_return,3,2,46,2025-01-28T00:00:00,0.006082923151552677,-0.09556859731674194,0.10165151953697205,0.10165151953697205,0.01033303142417541
relative_return,3,3,47,2025-01-29T00:00:00,0.009479682892560959,-0.13266021013259888,0.14213989675045013,0.14213989675045013,0.020203750248228625
relative_return,3,4,48,2025-01-30T00:00:00,0.011618437245488167,-0.1259990930557251,0.13761752843856812,0.13761752843856812,0.018938584133540104
relative_return,3,5,49,2025-01-31T00:00:00,0.018983714282512665,-0.15811246633529663,0.1770961880683899,0.1770961880683899,0.03136305982835452
relative_return,4,1,50,2025-02-03T00:00:00,0.003239121288061142,-0.028400063514709473,0.031639184802770615,0.031639184802770615,0.001001038014983871
relative_return,4,2,51,2025-02-04T00:00:00,0.005905005615204573,-0.011826395988464355,0.017731402069330215,0.017731402069330215,0.00031440261934424785
relative_return,4,3,52,2025-02-05T00:00:00,0.0063483826816082,0.03964352607727051,-0.03329514339566231,0.03329514339566231,0.0011085665737377154
relative_return,4,4,53,2025-02-06T00:00:00,0.013555830344557762,0.071708083152771,-0.058152250945568085,0.058152250945568085,0.003381684290036324
relative_return,4,5,54,2025-02-07T00:00:00,0.005159139633178711,0.08136916160583496,-0.07621002197265625,0.07621002197265625,0.005807967449072748
relative_return,5,1,55,2025-02-10T00:00:00,0.0031540915369987488,0.02872776985168457,-0.02557367831468582,0.02557367831468582,0.0006540130225430318
relative_return,5,2,56,2025-02-11T00:00:00,0.004494704306125641,0.022797346115112305,-0.018302641808986664,0.018302641808986664,0.0003349866971880666
relative_return,5,3,57,2025-02-12T00:00:00,0.0019151866436004639,0.010012388229370117,-0.008097201585769653,0.008097201585769653,6.556467352059059e-05
relative_return,5,4,58,2025-02-13T00:00:00,0.0009646713733673096,0.041974663734436035,-0.041009992361068726,0.041009992361068726,0.0016818194734549152
relative_return,5,5,59,2025-02-14T00:00:00,0.001002579927444458,0.06939315795898438,-0.06839057803153992,0.06839057803153992,0.00467727116348815
relative_return,6,1,60,2025-02-18T00:00:00,-0.00030998140573501587,0.003960967063903809,-0.0042709484696388245,0.0042709484696388245,1.8241000830310217e-05
relative_return,6,2,61,2025-02-19T00:00:00,-0.013687466271221638,0.002736687660217285,-0.01642415300011635,0.01642415300011635,0.00026975280177123084
relative_return,6,3,62,2025-02-20T00:00:00,-0.00509721040725708,0.00907444953918457,-0.01417165994644165,0.01417165994644165,0.00020083594563757856
relative_return,6,4,63,2025-02-21T00:00:00,-0.015147801488637924,-0.031832993030548096,0.01668519154191017,0.01668519154191017,0.0002783956167902307
relative_return,6,5,64,2025-02-24T00:00:00,-0.008930101990699768,-0.0617213249206543,0.05279122292995453,0.05279122292995453,0.002786913218440157
relative_return,7,1,65,2025-02-25T00:00:00,0.0051168277859687805,-0.02801656723022461,0.03313339501619339,0.03313339501619339,0.001097821865299109
relative_return,7,2,66,2025-02-26T00:00:00,0.014474871568381786,0.007675766944885254,0.0067991046234965324,0.0067991046234965324,4.6227823681251924e-05
relative_return,7,3,67,2025-02-27T00:00:00,0.0077974796295166016,-0.07775557041168213,0.08555305004119873,0.08555305004119873,0.007319324371351854
relative_return,7,4,68,2025-02-28T00:00:00,0.0008751489222049713,-0.041142165660858154,0.042017314583063126,0.042017314583063126,0.0017654547247720892
relative_return,7,5,69,2025-03-03T00:00:00,0.005476042628288269,-0.12450110912322998,0.12997715175151825,0.12997715175151825,0.016894059977437204
relative_return,8,1,70,2025-03-04T00:00:00,0.01629123091697693,0.016920924186706543,-0.0006296932697296143,0.0006296932697296143,3.9651361394277274e-07
relative_return,8,2,71,2025-03-05T00:00:00,0.020148683339357376,0.028406143188476562,-0.008257459849119186,0.008257459849119186,6.818564315981546e-05
relative_return,8,3,72,2025-03-06T00:00:00,0.02579697221517563,-0.030597925186157227,0.056394897401332855,0.056394897401332855,0.0031803844529068592
relative_return,8,4,73,2025-03-07T00:00:00,0.045888178050518036,-0.012011170387268066,0.0578993484377861,0.0578993484377861,0.003352334549520164
relative_return,8,5,74,2025-03-10T00:00:00,0.050720542669296265,-0.0620725154876709,0.11279305815696716,0.11279305815696716,0.012722273968400977
relative_return,9,1,75,2025-03-11T00:00:00,0.007561519742012024,0.016638636589050293,-0.009077116847038269,0.009077116847038269,8.239405025478597e-05
relative_return,9,2,76,2025-03-12T00:00:00,0.0033660726621747017,0.08188438415527344,-0.07851830869913101,0.07851830869913101,0.006165124800972033
relative_return,9,3,77,2025-03-13T00:00:00,-0.005536928772926331,0.08038878440856934,-0.08592571318149567,0.08592571318149567,0.007383228185748658
relative_return,9,4,78,2025-03-14T00:00:00,0.010295774787664413,0.13731539249420166,-0.12701961398124695,0.12701961398124695,0.016133982335944985
