rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.06383202970027924,True
0,2,1,-0.0639185979962349,True
0,3,2,-0.05360068008303642,True
0,4,3,-0.059567198157310486,True
0,5,4,-0.05792885273694992,True
1,1,1,-0.1395946741104126,True
1,2,2,-0.14495345950126648,True
1,3,3,-0.13671252131462097,True
1,4,4,-0.13788627088069916,True
1,5,5,-0.14084374904632568,True
2,1,2,-0.11432932317256927,True
2,2,3,-0.11490372568368912,True
2,3,4,-0.10682143270969391,True
2,4,5,-0.10959845781326294,True
2,5,6,-0.10589241236448288,True
3,1,3,-0.12318429350852966,True
3,2,4,-0.1226479783654213,True
3,3,5,-0.11105093359947205,True
3,4,6,-0.11573334783315659,True
3,5,7,-0.11361675709486008,True
4,1,4,-0.07657209038734436,True
4,2,5,-0.07474759966135025,True
4,3,6,-0.06525015085935593,True
4,4,7,-0.07060758769512177,True
4,5,8,-0.06508525460958481,True
5,1,5,-0.07977800816297531,True
5,2,6,-0.07963601499795914,True
5,3,7,-0.07015910744667053,True
5,4,8,-0.0754212737083435,True
5,5,9,-0.07257165759801865,True
6,1,6,-0.04661787673830986,True
6,2,7,-0.04321965575218201,True
6,3,8,-0.037430018186569214,True
6,4,9,-0.040832214057445526,True
6,5,10,-0.03555171191692352,True
7,1,7,0.014320217072963715,True
7,2,8,0.016767987981438637,True
7,3,9,0.02366967499256134,True
7,4,10,0.018915854394435883,True
7,5,11,0.02323608100414276,True
8,1,8,0.047124795615673065,True
8,2,9,0.05118325352668762,True
8,3,10,0.05362863838672638,True
8,4,11,0.050294406712055206,True
8,5,12,0.05439126864075661,True
9,1,9,0.11199840158224106,True
9,2,10,0.1175246313214302,True
9,3,11,0.11933116614818573,True
9,4,12,0.11834803968667984,True
9,5,13,0.12128318846225739,True
10,1,10,0.11811170727014542,True
10,2,11,0.1241157203912735,True
10,3,12,0.12496291100978851,True
10,4,13,0.12329616397619247,True
10,5,14,0.12612754106521606,True
11,1,11,0.0707516297698021,True
11,2,12,0.07437556982040405,True
11,3,13,0.07154026627540588,True
11,4,14,0.07178197056055069,True
11,5,15,0.07149308919906616,True
12,1,12,0.1450764238834381,True
12,2,13,0.15105275809764862,True
12,3,14,0.15285031497478485,True
12,4,15,0.15341758728027344,True
12,5,16,0.1548570990562439,True
13,1,13,0.31107592582702637,True
13,2,14,0.32430607080459595,True
13,3,15,0.32935142517089844,True
13,4,16,0.3361775577068329,True
13,5,17,0.3355838656425476,True
14,1,14,0.20228701829910278,True
14,2,15,0.209762841463089,True
14,3,16,0.2078290432691574,True
14,4,17,0.2118189036846161,True
14,5,18,0.20959991216659546,True
15,1,15,0.21906700730323792,True
15,2,16,0.22905325889587402,True
15,3,17,0.22818483412265778,True
15,4,18,0.23103338479995728,True
15,5,19,0.2295011579990387,True
16,1,16,0.18080130219459534,True
16,2,17,0.18765510618686676,True
16,3,18,0.18577782809734344,True
16,4,19,0.18810412287712097,True
16,5,20,0.18726018071174622,True
17,1,17,0.14514529705047607,True
17,2,18,0.1469763070344925,True
17,3,19,0.14340050518512726,True
17,4,20,0.15015387535095215,True
17,5,21,0.15072742104530334,True
18,1,18,0.10515006631612778,True
18,2,19,0.10916995257139206,True
18,3,20,0.11223718523979187,True
18,4,21,0.10898522287607193,True
18,5,22,0.10892380774021149,True
19,1,19,0.1231113001704216,True
19,2,20,0.12472031265497208,True
19,3,21,0.1255534291267395,True
19,4,22,0.123773492872715,True
19,5,23,0.12616249918937683,True
20,1,20,0.09796499460935593,True
20,2,21,0.10114647448062897,True
20,3,22,0.1002509593963623,True
20,4,23,0.09822586923837662,True
20,5,24,0.099744513630867,True
21,1,21,0.09120819717645645,True
21,2,22,0.08902624249458313,True
21,3,23,0.08665168285369873,True
21,4,24,0.08809322863817215,True
21,5,25,0.08960337936878204,True
22,1,22,0.08093326538801193,True
22,2,23,0.08217885345220566,True
22,3,24,0.086790069937706,True
22,4,25,0.08391138166189194,True
22,5,26,0.08555365353822708,True
23,1,23,0.11932627111673355,True
23,2,24,0.12161752581596375,True
23,3,25,0.1253759264945984,True
23,4,26,0.12371043115854263,True
23,5,27,0.12633617222309113,True
24,1,24,0.09709783643484116,True
24,2,25,0.09887231886386871,True
24,3,26,0.10255499184131622,True
24,4,27,0.09983757883310318,True
24,5,28,0.10152291506528854,True
25,1,25,0.08573626726865768,True
25,2,26,0.08776728808879852,True
25,3,27,0.08901742100715637,True
25,4,28,0.08717700093984604,True
25,5,29,0.08885764330625534,True
26,1,26,0.09306307882070541,True
26,2,27,0.09502068907022476,True
26,3,28,0.09601520001888275,True
26,4,29,0.0947328731417656,True
26,5,30,0.0966859683394432,True
27,1,27,0.06626100093126297,True
27,2,28,0.0684855729341507,True
27,3,29,0.06812186539173126,True
27,4,30,0.06735119968652725,True
27,5,31,0.06750591844320297,True
28,1,28,0.07325299829244614,True
28,2,29,0.07626216858625412,True
28,3,30,0.07853321731090546,True
28,4,31,0.07718484848737717,True
28,5,32,0.07831843197345734,True
29,1,29,0.1105181947350502,True
29,2,30,0.11342034488916397,True
29,3,31,0.11632286012172699,True
29,4,32,0.11505232006311417,True
29,5,33,0.11727765947580338,True
30,1,30,0.09974471479654312,True
30,2,31,0.1036180779337883,True
30,3,32,0.10817497968673706,True
30,4,33,0.10629681497812271,True
30,5,34,0.10703295469284058,True
31,1,31,0.07747750729322433,True
31,2,32,0.08366300910711288,True
31,3,33,0.08551381528377533,True
31,4,34,0.08281517773866653,True
31,5,35,0.08377920836210251,True
32,1,32,0.062010906636714935,True
32,2,33,0.06394559890031815,True
32,3,34,0.059897080063819885,True
32,4,35,0.060046710073947906,True
32,5,36,0.061544839292764664,True
33,1,33,0.06675457209348679,True
33,2,34,0.07228592783212662,True
33,3,35,0.07184867560863495,True
33,4,36,0.07096438854932785,True
33,5,37,0.07208169996738434,True
34,1,34,0.06925740092992783,True
34,2,35,0.07175853103399277,True
34,3,36,0.07567070424556732,True
34,4,37,0.07266349345445633,True
34,5,38,0.07518267631530762,True
35,1,35,0.056566961109638214,True
35,2,36,0.057892583310604095,True
35,3,37,0.06073538959026337,True
35,4,38,0.058981217443943024,True
35,5,39,0.06003504619002342,True
36,1,36,0.027927547693252563,True
36,2,37,0.030895868316292763,True
36,3,38,0.03610865771770477,True
36,4,39,0.03257109224796295,True
36,5,40,0.03198463097214699,True
37,1,37,0.039126038551330566,True
37,2,38,0.043671198189258575,True
37,3,39,0.05251103639602661,True
37,4,40,0.047144778072834015,True
37,5,41,0.049179352819919586,True
38,1,38,0.019970260560512543,True
38,2,39,0.020694324746727943,True
38,3,40,0.02447594702243805,True
38,4,41,0.020704835653305054,True
38,5,42,0.023617159575223923,True
39,1,39,0.03784696012735367,True
39,2,40,0.03750082105398178,True
39,3,41,0.038229718804359436,True
39,4,42,0.036630116403102875,True
39,5,43,0.03920853137969971,True
40,1,40,0.020401276648044586,True
40,2,41,0.021914904937148094,True
40,3,42,0.0263870507478714,True
40,4,43,0.022240400314331055,True
40,5,44,0.02427445724606514,True
41,1,41,-0.012409865856170654,True
41,2,42,-0.013647474348545074,True
41,3,43,-0.01210777461528778,True
41,4,44,-0.013394273817539215,True
41,5,45,-0.012513235211372375,True
42,1,42,0.01135127991437912,True
42,2,43,0.011336922645568848,True
42,3,44,0.017280280590057373,True
42,4,45,0.01310022920370102,True
42,5,46,0.015449535101652145,True
43,1,43,-0.01254475861787796,True
43,2,44,-0.010854484513401985,True
43,3,45,-0.008916690945625305,True
43,4,46,-0.010784737765789032,True
43,5,47,-0.009048998355865479,True
44,1,44,0.01256868988275528,True
44,2,45,0.012267949059605598,True
44,3,46,0.011135324835777283,True
44,4,47,0.011014960706233978,True
44,5,48,0.013795275241136551,True
45,1,45,-0.006850972771644592,True
45,2,46,-0.005651826038956642,True
45,3,47,-0.0010426342487335205,True
45,4,48,-0.004663735628128052,True
45,5,49,-0.0027804002165794373,True
46,1,46,-0.01689007133245468,True
46,2,47,-0.015695786103606224,True
46,3,48,-0.01060563325881958,True
46,4,49,-0.01473148912191391,True
46,5,50,-0.012782953679561615,True
47,1,47,-0.024425212293863297,True
47,2,48,-0.02362283505499363,True
47,3,49,-0.018937483429908752,True
47,4,50,-0.022419393062591553,True
47,5,51,-0.019270986318588257,True
48,1,48,0.002910032868385315,True
48,2,49,0.0024449527263641357,True
48,3,50,0.002397790551185608,True
48,4,51,0.0013557448983192444,True
48,5,52,0.00493047758936882,True
49,1,49,-0.04601343721151352,True
49,2,50,-0.04671937972307205,True
49,3,51,-0.04584052413702011,True
49,4,52,-0.046922717243433,True
49,5,53,-0.04421407729387283,True
50,1,50,-0.07427743822336197,True
50,2,51,-0.07684261351823807,True
50,3,52,-0.07296738028526306,True
50,4,53,-0.07503409683704376,True
50,5,54,-0.07378698140382767,True
51,1,51,-0.05178562551736832,True
51,2,52,-0.050818681716918945,True
51,3,53,-0.04388994723558426,True
51,4,54,-0.04932394623756409,True
51,5,55,-0.048028506338596344,True
52,1,52,0.007607974112033844,True
52,2,53,0.008751621469855309,True
52,3,54,0.015206366777420044,True
52,4,55,0.011041656136512756,True
52,5,56,0.01590237021446228,True
53,1,53,0.02852853387594223,True
53,2,54,0.027853189036250114,True
53,3,55,0.031910136342048645,True
53,4,56,0.029543474316596985,True
53,5,57,0.03240012004971504,True
54,1,54,0.05263882130384445,True
54,2,55,0.055357515811920166,True
54,3,56,0.06379412114620209,True
54,4,57,0.058222196996212006,True
54,5,58,0.061331089586019516,True
55,1,55,0.10377394407987595,True
55,2,56,0.10765566676855087,True
