rolling_step,horizon_step,target_index,predicted_value,true_value,error,absolute_error,squared_error
0,1,0,-0.22995716333389282,-0.20360058546066284,-0.02635657787322998,0.02635657787322998,0.0006946691971876362
0,2,1,-0.19202378392219543,-0.20164847373962402,0.009624689817428589,0.009624689817428589,9.263465408171356e-05
0,3,2,-0.19049768149852753,-0.2639722228050232,0.07347454130649567,0.07347454130649567,0.005398508220199938
0,4,3,-0.20903174579143524,-0.31812596321105957,0.10909421741962433,0.10909421741962433,0.011901548274400264
0,5,4,-0.1905781328678131,-0.29404956102371216,0.10347142815589905,0.10347142815589905,0.010706336444621378
1,1,1,-0.28068631887435913,-0.29144287109375,0.01075655221939087,0.01075655221939087,0.00011570341564848263
1,2,2,-0.2487042397260666,-0.1587815284729004,-0.0899227112531662,0.0899227112531662,0.008086093999120303
1,3,3,-0.25532233715057373,-0.20852035284042358,-0.046801984310150146,0.046801984310150146,0.0021904257353675405
1,4,4,-0.274456650018692,-0.18379813432693481,-0.0906585156917572,0.0906585156917572,0.008218966467432587
1,5,5,-0.2534560561180115,-0.18541687726974487,-0.0680391788482666,0.0680391788482666,0.004629329858346409
2,1,2,-0.20125308632850647,-0.18524444103240967,-0.016008645296096802,0.016008645296096802,0.00025627672421624226
2,2,3,-0.1518220603466034,-0.24123162031173706,0.08940955996513367,0.08940955996513367,0.007994069413158833
2,3,4,-0.14649850130081177,-0.2630165219306946,0.11651802062988281,0.11651802062988281,0.013576449131505797
2,4,5,-0.1675325632095337,-0.2962747812271118,0.12874221801757812,0.12874221801757812,0.016574558700085618
2,5,6,-0.15408210456371307,-0.28189677000045776,0.1278146654367447,0.1278146654367447,0.016336588700706978
3,1,3,-0.20033249258995056,-0.13266336917877197,-0.06766912341117859,0.06766912341117859,0.004579110263237318
3,2,4,-0.1678750216960907,-0.10124975442886353,-0.06662526726722717,0.06662526726722717,0.0044389262384294526
3,3,5,-0.1532830446958542,-0.06257385015487671,-0.09070919454097748,0.09070919454097748,0.008228157974272898
3,4,6,-0.17770320177078247,-0.08182734251022339,-0.09587585926055908,0.09587585926055908,0.009192180388950533
3,5,7,-0.14572013914585114,-0.07937848567962646,-0.06634165346622467,0.06634165346622467,0.00440121498463264
4,1,4,-0.09282971918582916,-0.06634670495986938,-0.026483014225959778,0.026483014225959778,0.000701350042492388
4,2,5,-0.05079043284058571,-0.043288230895996094,-0.007502201944589615,0.007502201944589615,5.62830340174042e-05
4,3,6,-0.04576711356639862,-0.018515348434448242,-0.02725176513195038,0.02725176513195038,0.0007426587028069864
4,4,7,-0.07201364636421204,-0.024344265460968018,-0.04766938090324402,0.04766938090324402,0.0022723698756985655
4,5,8,-0.03064154088497162,-0.026744425296783447,-0.0038971155881881714,0.0038971155881881714,1.5187509907699237e-05
5,1,5,-0.17613264918327332,-0.12360566854476929,-0.05252698063850403,0.05252698063850403,0.002759083694997777
5,2,6,-0.13444454967975616,-0.12128472328186035,-0.013159826397895813,0.013159826397895813,0.0001731810308227555
5,3,7,-0.12615549564361572,-0.12667518854141235,0.0005196928977966309,0.0005196928977966309,2.700807080202594e-07
5,4,8,-0.1447896659374237,-0.07913458347320557,-0.06565508246421814,0.06565508246421814,0.004310589853383284
5,5,9,-0.11624818295240402,-0.027251720428466797,-0.08899646252393723,0.08899646252393723,0.007920370341774563
6,1,6,-0.08683671057224274,-0.029124796390533447,-0.05771191418170929,0.05771191418170929,0.003330665038516978
6,2,7,-0.04404010251164436,-0.032783329486846924,-0.01125677302479744,0.01125677302479744,0.0001267149389318073
