model,forecast_target,rolling_step,horizon_step,target_index,predicted_value,locked
naive_last,value,27,2,28,7.94383430480957,True
naive_last,value,27,3,29,7.94383430480957,True
naive_last,value,27,4,30,7.94383430480957,True
naive_last,value,27,5,31,7.94383430480957,True
naive_last,value,28,1,28,7.6825714111328125,True
naive_last,value,28,2,29,7.6825714111328125,True
naive_last,value,28,3,30,7.6825714111328125,True
naive_last,value,28,4,31,7.6825714111328125,True
naive_last,value,28,5,32,7.6825714111328125,True
naive_last,value,29,1,29,8.089644432067871,True
naive_last,value,29,2,30,8.089644432067871,True
naive_last,value,29,3,31,8.089644432067871,True
naive_last,value,29,4,32,8.089644432067871,True
naive_last,value,29,5,33,8.089644432067871,True
naive_last,value,30,1,30,8.797538757324219,True
naive_last,value,30,2,31,8.797538757324219,True
naive_last,value,30,3,32,8.797538757324219,True
naive_last,value,30,4,33,8.797538757324219,True
naive_last,value,30,5,34,8.797538757324219,True
naive_last,value,31,1,31,8.437381744384766,True
naive_last,value,31,2,32,8.437381744384766,True
naive_last,value,31,3,33,8.437381744384766,True
naive_last,value,31,4,34,8.437381744384766,True
naive_last,value,31,5,35,8.437381744384766,True
naive_last,value,32,1,32,7.864719390869141,True
naive_last,value,32,2,33,7.864719390869141,True
naive_last,value,32,3,34,7.864719390869141,True
naive_last,value,32,4,35,7.864719390869141,True
naive_last,value,32,5,36,7.864719390869141,True
naive_last,value,33,1,33,7.678431510925293,True
naive_last,value,33,2,34,7.678431510925293,True
naive_last,value,33,3,35,7.678431510925293,True
naive_last,value,33,4,36,7.678431510925293,True
naive_last,value,33,5,37,7.678431510925293,True
naive_last,value,34,1,34,7.628294944763184,True
naive_last,value,34,2,35,7.628294944763184,True
naive_last,value,34,3,36,7.628294944763184,True
naive_last,value,34,4,37,7.628294944763184,True
naive_last,value,34,5,38,7.628294944763184,True
naive_last,value,35,1,35,7.7897443771362305,True
naive_last,value,35,2,36,7.7897443771362305,True
naive_last,value,35,3,37,7.7897443771362305,True
naive_last,value,35,4,38,7.7897443771362305,True
naive_last,value,35,5,39,7.7897443771362305,True
naive_last,value,36,1,36,7.456265926361084,True
naive_last,value,36,2,37,7.456265926361084,True
naive_last,value,36,3,38,7.456265926361084,True
naive_last,value,36,4,39,7.456265926361084,True
naive_last,value,36,5,40,7.456265926361084,True
naive_last,value,37,1,37,7.984771728515625,True
naive_last,value,37,2,38,7.984771728515625,True
naive_last,value,37,3,39,7.984771728515625,True
naive_last,value,37,4,40,7.984771728515625,True
naive_last,value,37,5,41,7.984771728515625,True
naive_last,value,38,1,38,7.860119819641113,True
naive_last,value,38,2,39,7.860119819641113,True
naive_last,value,38,3,40,7.860119819641113,True
naive_last,value,38,4,41,7.860119819641113,True
naive_last,value,38,5,42,7.860119819641113,True
naive_last,value,39,1,39,7.79296350479126,True
naive_last,value,39,2,40,7.79296350479126,True
naive_last,value,39,3,41,7.79296350479126,True
naive_last,value,39,4,42,7.79296350479126,True
naive_last,value,39,5,43,7.79296350479126,True
naive_last,value,40,1,40,7.885417938232422,True
naive_last,value,40,2,41,7.885417938232422,True
naive_last,value,40,3,42,7.885417938232422,True
naive_last,value,40,4,43,7.885417938232422,True
naive_last,value,40,5,44,7.885417938232422,True
naive_last,value,41,1,41,7.913936138153076,True
naive_last,value,41,2,42,7.913936138153076,True
naive_last,value,41,3,43,7.913936138153076,True
naive_last,value,41,4,44,7.913936138153076,True
naive_last,value,41,5,45,7.913936138153076,True
naive_last,value,42,1,42,8.07308578491211,True
naive_last,value,42,2,43,8.07308578491211,True
naive_last,value,42,3,44,8.07308578491211,True
naive_last,value,42,4,45,8.07308578491211,True
naive_last,value,42,5,46,8.07308578491211,True
naive_last,value,43,1,43,7.809983253479004,True
naive_last,value,43,2,44,7.809983253479004,True
naive_last,value,43,3,45,7.809983253479004,True
naive_last,value,43,4,46,7.809983253479004,True
naive_last,value,43,5,47,7.809983253479004,True
naive_last,value,44,1,44,7.690390586853027,True
naive_last,value,44,2,45,7.690390586853027,True
naive_last,value,44,3,46,7.690390586853027,True
naive_last,value,44,4,47,7.690390586853027,True
naive_last,value,44,5,48,7.690390586853027,True
naive_last,value,45,1,45,8.09240436553955,True
naive_last,value,45,2,46,8.09240436553955,True
naive_last,value,45,3,47,8.09240436553955,True
naive_last,value,45,4,48,8.09240436553955,True
naive_last,value,45,5,49,8.09240436553955,True
naive_last,value,46,1,46,7.675211429595947,True
naive_last,value,46,2,47,7.675211429595947,True
naive_last,value,46,3,48,7.675211429595947,True
naive_last,value,46,4,49,7.675211429595947,True
naive_last,value,46,5,50,7.675211429595947,True
naive_last,value,47,1,47,7.68303108215332,True
naive_last,value,47,2,48,7.68303108215332,True
naive_last,value,47,3,49,7.68303108215332,True
naive_last,value,47,4,50,7.68303108215332,True
naive_last,value,47,5,51,7.68303108215332,True
naive_last,value,48,1,48,7.709249496459961,True
naive_last,value,48,2,49,7.709249496459961,True
naive_last,value,48,3,50,7.709249496459961,True
naive_last,value,48,4,51,7.709249496459961,True
naive_last,value,48,5,52,7.709249496459961,True
naive_last,value,49,1,49,7.360592365264893,True
naive_last,value,49,2,50,7.360592365264893,True
naive_last,value,49,3,51,7.360592365264893,True
naive_last,value,49,4,52,7.360592365264893,True
naive_last,value,49,5,53,7.360592365264893,True
naive_last,value,50,1,50,6.879003524780273,True
naive_last,value,50,2,51,6.879003524780273,True
naive_last,value,50,3,52,6.879003524780273,True
naive_last,value,50,4,53,6.879003524780273,True
naive_last,value,50,5,54,6.879003524780273,True
naive_last,value,51,1,51,7.473745346069336,True
naive_last,value,51,2,52,7.473745346069336,True
naive_last,value,51,3,53,7.473745346069336,True
naive_last,value,51,4,54,7.473745346069336,True
naive_last,value,51,5,55,7.473745346069336,True
naive_last,value,52,1,52,8.320549011230469,True
naive_last,value,52,2,53,8.320549011230469,True
naive_last,value,52,3,54,8.320549011230469,True
naive_last,value,52,4,55,8.320549011230469,True
naive_last,value,52,5,56,8.320549011230469,True
naive_last,value,53,1,53,8.47555923461914,True
naive_last,value,53,2,54,8.47555923461914,True
naive_last,value,53,3,55,8.47555923461914,True
naive_last,value,53,4,56,8.47555923461914,True
naive_last,value,53,5,57,8.47555923461914,True
naive_last,value,54,1,54,9.086859703063965,True
naive_last,value,54,2,55,9.086859703063965,True
naive_last,value,54,3,56,9.086859703063965,True
naive_last,value,54,4,57,9.086859703063965,True
naive_last,value,54,5,58,9.086859703063965,True
naive_last,value,55,1,55,8.320089340209961,True
naive_last,value,55,2,56,8.320089340209961,True
naive_last,value,55,3,57,8.320089340209961,True
naive_last,value,55,4,58,8.320089340209961,True
naive_last,value,55,5,59,8.320089340209961,True
naive_last,value,56,1,56,9.436896324157715,True
naive_last,value,56,2,57,9.436896324157715,True
naive_last,value,56,3,58,9.436896324157715,True
naive_last,value,56,4,59,9.436896324157715,True
naive_last,value,56,5,60,9.436896324157715,True
naive_last,value,57,1,57,9.4290771484375,True
naive_last,value,57,2,58,9.4290771484375,True
naive_last,value,57,3,59,9.4290771484375,True
naive_last,value,57,4,60,9.4290771484375,True
naive_last,value,57,5,61,9.4290771484375,True
naive_last,value,58,1,58,9.060641288757324,True
naive_last,value,58,2,59,9.060641288757324,True
naive_last,value,58,3,60,9.060641288757324,True
naive_last,value,58,4,61,9.060641288757324,True
naive_last,value,58,5,62,9.060641288757324,True
naive_last,value,59,1,59,9.159534454345703,True
naive_last,value,59,2,60,9.159534454345703,True
naive_last,value,59,3,61,9.159534454345703,True
naive_last,value,59,4,62,9.159534454345703,True
naive_last,value,59,5,63,9.159534454345703,True
naive_last,value,60,1,60,8.500397682189941,True
naive_last,value,60,2,61,8.500397682189941,True
naive_last,value,60,3,62,8.500397682189941,True
naive_last,value,60,4,63,8.500397682189941,True
naive_last,value,60,5,64,8.500397682189941,True
naive_last,value,61,1,61,8.694964408874512,True
naive_last,value,61,2,62,8.694964408874512,True
naive_last,value,61,3,63,8.694964408874512,True
naive_last,value,61,4,64,8.694964408874512,True
naive_last,value,61,5,65,8.694964408874512,True
naive_last,value,62,1,62,8.28513240814209,True
naive_last,value,62,2,63,8.28513240814209,True
naive_last,value,62,3,64,8.28513240814209,True
naive_last,value,62,4,65,8.28513240814209,True
naive_last,value,62,5,66,8.28513240814209,True
naive_last,value,63,1,63,8.243274688720703,True
naive_last,value,63,2,64,8.243274688720703,True
naive_last,value,63,3,65,8.243274688720703,True
naive_last,value,63,4,66,8.243274688720703,True
naive_last,value,63,5,67,8.243274688720703,True
naive_last,value,64,1,64,8.985206604003906,True
naive_last,value,64,2,65,8.985206604003906,True
naive_last,value,64,3,66,8.985206604003906,True
naive_last,value,64,4,67,8.985206604003906,True
naive_last,value,64,5,68,8.985206604003906,True
previous_patch,value,0,1,0,4.833057403564453,True
previous_patch,value,0,2,1,4.514298439025879,True
previous_patch,value,0,3,2,4.407125473022461,True
previous_patch,value,0,4,3,4.326170444488525,True
previous_patch,value,0,5,4,4.266834259033203,True
previous_patch,value,1,1,1,4.3482489585876465,True
previous_patch,value,1,2,2,4.360668182373047,True
previous_patch,value,1,3,3,3.964174270629883,True
previous_patch,value,1,4,4,3.619656562805176,True
previous_patch,value,1,5,5,3.772826671600342,True
previous_patch,value,2,1,2,3.711190938949585,True
previous_patch,value,2,2,3,4.5405168533325195,True
previous_patch,value,2,3,4,4.22957706451416,True
previous_patch,value,2,4,5,4.384126663208008,True
previous_patch,value,2,5,6,4.374007225036621,True
previous_patch,value,3,1,3,4.442543029785156,True
previous_patch,value,3,2,4,4.0879058837890625,True
previous_patch,value,3,3,5,3.9499149322509766,True
previous_patch,value,3,4,6,3.7392489910125732,True
previous_patch,value,3,5,7,3.8303229808807373,True
previous_patch,value,4,1,4,4.006031513214111,True
previous_patch,value,4,2,5,4.177140235900879,True
previous_patch,value,4,3,6,4.387806415557861,True
previous_patch,value,4,4,7,4.282933712005615,True
previous_patch,value,4,5,8,4.296272277832031,True
previous_patch,value,5,1,5,4.291672706604004,True
previous_patch,value,5,2,6,4.415404796600342,True
previous_patch,value,5,3,7,4.548336029052734,True
previous_patch,value,5,4,8,4.5170578956604,True
previous_patch,value,5,5,9,4.504179000854492,True
previous_patch,value,6,1,6,4.666088104248047,True
previous_patch,value,6,2,7,4.680347442626953,True
previous_patch,value,6,3,8,4.6472296714782715,True
previous_patch,value,6,4,9,4.939310550689697,True
previous_patch,value,6,5,10,5.2580695152282715,True
previous_patch,value,7,1,7,5.506913185119629,True
previous_patch,value,7,2,8,5.483455181121826,True
previous_patch,value,7,3,9,5.509673118591309,True
previous_patch,value,7,4,10,5.51749324798584,True
previous_patch,value,7,5,11,5.462756633758545,True
previous_patch,value,8,1,8,5.3440842628479,True
previous_patch,value,8,2,9,5.39146089553833,True
previous_patch,value,8,3,10,5.320625305175781,True
previous_patch,value,8,4,11,5.514272689819336,True
previous_patch,value,8,5,12,5.482534885406494,True
previous_patch,value,9,1,9,5.684001922607422,True
previous_patch,value,9,2,10,5.497254371643066,True
previous_patch,value,9,3,11,5.600747585296631,True
previous_patch,value,9,4,12,5.7773756980896,True
previous_patch,value,9,5,13,5.809573650360107,True
previous_patch,value,10,1,10,5.720799446105957,True
previous_patch,value,10,2,11,5.8003740310668945,True
previous_patch,value,10,3,12,5.842231750488281,True
previous_patch,value,10,4,13,5.903407573699951,True
previous_patch,value,10,5,14,5.851430892944336,True
previous_patch,value,11,1,11,5.951244354248047,True
previous_patch,value,11,2,12,5.811873435974121,True
previous_patch,value,11,3,13,5.936985492706299,True
previous_patch,value,11,4,14,5.9107666015625,True
previous_patch,value,11,5,15,5.973322868347168,True
previous_patch,value,12,1,12,5.898347854614258,True
previous_patch,value,12,2,13,5.913066864013672,True
previous_patch,value,12,3,14,6.084635257720947,True
previous_patch,value,12,4,15,6.379476070404053,True
previous_patch,value,12,5,16,6.412134647369385,True
previous_patch,value,13,1,13,6.537705898284912,True
previous_patch,value,13,2,14,6.548745632171631,True
previous_patch,value,13,3,15,6.333019733428955,True
previous_patch,value,13,4,16,6.514707565307617,True
previous_patch,value,13,5,17,6.610841274261475,True
previous_patch,value,14,1,14,6.560245037078857,True
previous_patch,value,14,2,15,6.641199111938477,True
previous_patch,value,14,3,16,6.773670673370361,True
previous_patch,value,14,4,17,6.829787254333496,True
previous_patch,value,14,5,18,6.867504596710205,True
previous_patch,value,15,1,15,6.828407287597656,True
previous_patch,value,15,2,16,7.13336706161499,True
previous_patch,value,15,3,17,7.164185047149658,True
previous_patch,value,15,4,18,7.239160060882568,True
previous_patch,value,15,5,19,7.212022304534912,True
previous_patch,value,16,1,16,7.164645195007324,True
previous_patch,value,16,2,17,6.964558124542236,True
previous_patch,value,16,3,18,7.137046813964844,True
previous_patch,value,16,4,19,7.273198127746582,True
previous_patch,value,16,5,20,7.2621588706970215,True
previous_patch,value,17,1,17,7.411648750305176,True
previous_patch,value,17,2,18,7.354612350463867,True
previous_patch,value,17,3,19,7.527561664581299,True
previous_patch,value,17,4,20,7.463165283203125,True
previous_patch,value,17,5,21,7.272278308868408,True
previous_patch,value,18,1,18,7.561139106750488,True
previous_patch,value,18,2,19,7.481103897094727,True
previous_patch,value,18,3,20,7.53446102142334,True
previous_patch,value,18,4,21,7.596557140350342,True
previous_patch,value,18,5,22,7.685330867767334,True
previous_patch,value,19,1,19,7.655892848968506,True
previous_patch,value,19,2,20,7.7064900398254395,True
previous_patch,value,19,3,21,7.634274005889893,True
previous_patch,value,19,4,22,7.654053211212158,True
previous_patch,value,19,5,23,7.5818376541137695,True
previous_patch,value,20,1,20,7.653593063354492,True
previous_patch,value,20,2,21,7.360592365264893,True
previous_patch,value,20,3,22,7.349552631378174,True
previous_patch,value,20,4,23,7.330234050750732,True
previous_patch,value,20,5,24,7.468685626983643,True
previous_patch,value,21,1,21,7.552399635314941,True
