rolling_step,horizon_step,target_index,predicted_value,locked
0,1,0,-0.08218598365783691,True
0,2,1,-0.0745249092578888,True
0,3,2,-0.06921249628067017,True
0,4,3,-0.07035350054502487,True
0,5,4,-0.07238714396953583,True
1,1,1,-0.1722002774477005,True
1,2,2,-0.16249726712703705,True
1,3,3,-0.16390275955200195,True
1,4,4,-0.1668747216463089,True
1,5,5,-0.17390669882297516,True
2,1,2,-0.12293140590190887,True
2,2,3,-0.11579780280590057,True
2,3,4,-0.11450483649969101,True
2,4,5,-0.11514119058847427,True
2,5,6,-0.11995510756969452,True
3,1,3,-0.12538959085941315,True
3,2,4,-0.11849397420883179,True
3,3,5,-0.1151905208826065,True
3,4,6,-0.11647218465805054,True
3,5,7,-0.11904698610305786,True
4,1,4,-0.06230621039867401,True
4,2,5,-0.05539771914482117,True
4,3,6,-0.051093198359012604,True
4,4,7,-0.053077809512615204,True
4,5,8,-0.053944721817970276,True
5,1,5,-0.10357223451137543,True
5,2,6,-0.09553132951259613,True
5,3,7,-0.09358003735542297,True
5,4,8,-0.094673752784729,True
5,5,9,-0.09882703423500061,True
6,1,6,-0.12357764691114426,True
6,2,7,-0.11685316264629364,True
6,3,8,-0.11225618422031403,True
6,4,9,-0.11255010962486267,True
6,5,10,-0.11369138956069946,True
7,1,7,-0.1301126778125763,True
7,2,8,-0.12189601361751556,True
7,3,9,-0.11617542058229446,True
7,4,10,-0.11683260649442673,True
7,5,11,-0.1180475503206253,True
8,1,8,-0.12570172548294067,True
8,2,9,-0.11828801035881042,True
8,3,10,-0.11319548636674881,True
8,4,11,-0.11280456185340881,True
8,5,12,-0.11350558698177338,True
9,1,9,-0.07266645133495331,True
9,2,10,-0.06442303955554962,True
9,3,11,-0.05763176828622818,True
9,4,12,-0.05794404447078705,True
9,5,13,-0.05748523771762848,True
10,1,10,-0.050472479313611984,True
10,2,11,-0.0419655442237854,True
10,3,12,-0.03739728033542633,True
10,4,13,-0.03814823552966118,True
10,5,14,-0.03994136303663254,True
11,1,11,-0.09657689929008484,True
11,2,12,-0.09002906084060669,True
11,3,13,-0.08762714266777039,True
11,4,14,-0.08798454701900482,True
11,5,15,-0.08887752890586853,True
12,1,12,-0.08339430391788483,True
12,2,13,-0.07560413330793381,True
12,3,14,-0.07216580212116241,True
12,4,15,-0.07305942475795746,True
12,5,16,-0.0748165100812912,True
13,1,13,0.2033911943435669,True
13,2,14,0.213030606508255,True
13,3,15,0.22306078672409058,True
13,4,16,0.2234717309474945,True
13,5,17,0.22996750473976135,True
14,1,14,0.05418108403682709,True
14,2,15,0.05960486829280853,True
14,3,16,0.06396003067493439,True
14,4,17,0.06258054077625275,True
14,5,18,0.06483728438615799,True
15,1,15,0.03646474331617355,True
15,2,16,0.04162835329771042,True
15,3,17,0.04518240690231323,True
15,4,18,0.044059932231903076,True
15,5,19,0.04628400877118111,True
16,1,16,0.01451759785413742,True
16,2,17,0.0198307354003191,True
16,3,18,0.024284660816192627,True
16,4,19,0.022604428231716156,True
16,5,20,0.022705063223838806,True
17,1,17,0.047033973038196564,True
17,2,18,0.054823778569698334,True
17,3,19,0.05774699151515961,True
17,4,20,0.05563519895076752,True
17,5,21,0.055263128131628036,True
18,1,18,0.04734506458044052,True
18,2,19,0.05234818905591965,True
18,3,20,0.05614402890205383,True
18,4,21,0.05560000240802765,True
18,5,22,0.05650095269083977,True
19,1,19,0.14122360944747925,True
19,2,20,0.148313969373703,True
19,3,21,0.15554380416870117,True
19,4,22,0.15319934487342834,True
19,5,23,0.1545652598142624,True
