model,mse,mae,trend_accuracy
GRU,0.0003096663567703217,0.012131293304264545,0.5122950819672131
naive_last,0.000329694157699123,0.012788337655365467,0.0
drift,0.00035696681641994674,0.013047129446084776,0.5409836065573771
TS-JEPA,0.0003624489181675017,0.013545602560043335,0.4959016393442623
mean_context,0.0025745388120412827,0.04277694970369339,0.0
previous_patch,0.0076026939786970615,0.057908304035663605,0.4672131147540984
