stock,model,mse,mae,trend_accuracy,source_file
NVDA,naive_last,0.00198280974291265,0.03505386412143707,0.0,results/last_model_comparison_20260618_175710.csv
NVDA,drift,0.0020448253016247383,0.03520940863467718,0.5122950819672131,results/last_model_comparison_20260618_175710.csv
NVDA,GRU,0.002227355958893895,0.03775104135274887,0.5,results/last_model_comparison_20260618_175710.csv
NVDA,TS-JEPA,0.0022939881309866905,0.03841929882764816,0.5286885245901639,results/last_model_comparison_20260618_175710.csv
NVDA,mean_context,0.01882089488208294,0.10010683536529541,0.0,results/last_model_comparison_20260618_175710.csv
NVDA,previous_patch,0.03208310529589653,0.11598248034715652,0.5327868852459017,results/last_model_comparison_20260618_175710.csv
AAPL,naive_last,0.0010061414213851094,0.022336257621645927,0.0,results/last_model_comparison_20260618_175838.csv
AAPL,drift,0.0010764438140203438,0.02290335070733296,0.4918032786885246,results/last_model_comparison_20260618_175838.csv
AAPL,TS-JEPA,0.0011084569850936532,0.0237348061054945,0.5,results/last_model_comparison_20260618_175838.csv
AAPL,GRU,0.0011401706142351031,0.02452084608376026,0.5245901639344263,results/last_model_comparison_20260618_175838.csv
AAPL,mean_context,0.007031710352748632,0.06921769678592682,0.0,results/last_model_comparison_20260618_175838.csv
AAPL,previous_patch,0.011843018233776093,0.08244827389717102,0.5204918032786885,results/last_model_comparison_20260618_175838.csv
MSFT,naive_last,0.000889064627699554,0.02138836681842804,0.0,results/last_model_comparison_20260618_180015.csv
MSFT,drift,0.0009454245833958706,0.0221129532181801,0.5655737704918032,results/last_model_comparison_20260618_180015.csv
MSFT,TS-JEPA,0.0010986654087901115,0.025060433894395828,0.4672131147540984,results/last_model_comparison_20260618_180015.csv
MSFT,GRU,0.0019087250111624599,0.032310668379068375,0.48360655737704916,results/last_model_comparison_20260618_180015.csv
MSFT,mean_context,0.008166482672095299,0.0734480544924736,0.0,results/last_model_comparison_20260618_180015.csv
MSFT,previous_patch,0.015103199519217014,0.08833318203687668,0.430327868852459,results/last_model_comparison_20260618_180015.csv
AMZN,naive_last,0.0012236298061907291,0.02581946551799774,0.0,results/last_model_comparison_20260618_180144.csv
AMZN,drift,0.0013853338031760288,0.027132163312215525,0.5081967213114754,results/last_model_comparison_20260618_180144.csv
AMZN,TS-JEPA,0.0015701516531407833,0.030100490897893906,0.5286885245901639,results/last_model_comparison_20260618_180144.csv
AMZN,GRU,0.0018973381957039237,0.032516833394765854,0.48360655737704916,results/last_model_comparison_20260618_180144.csv
AMZN,mean_context,0.008421611972153187,0.07324088364839554,0.0,results/last_model_comparison_20260618_180144.csv
AMZN,previous_patch,0.014405347406864166,0.09059292823076248,0.5204918032786885,results/last_model_comparison_20260618_180144.csv
GOOGL,naive_last,0.001578636816702783,0.030024966225028038,0.0,results/last_model_comparison_20260618_180315.csv
GOOGL,GRU,0.001622223760932684,0.03149835020303726,0.5,results/last_model_comparison_20260618_180315.csv
GOOGL,drift,0.0016237596667457695,0.030692321370684037,0.5204918032786885,results/last_model_comparison_20260618_180315.csv
GOOGL,TS-JEPA,0.0022073350846767426,0.036428846418857574,0.5040983606557377,results/last_model_comparison_20260618_180315.csv
GOOGL,mean_context,0.022008094936609268,0.1265486627817154,0.0,results/last_model_comparison_20260618_180315.csv
GOOGL,previous_patch,0.03376230224967003,0.1368405520915985,0.5040983606557377,results/last_model_comparison_20260618_180315.csv
AVGO,GRU,0.003927175421267748,0.044595349580049515,0.5,results/last_model_comparison_20260618_180453.csv
